KO	output
K01096	48.8730398401
K01101	131.2043606365
K01104	16480.7527319823
K01113	248.9351712108
K01114	2590.393330336
K01118	3124.9370910966
K01119	489.08144388
K01120	60.1316577081
K01126	5933.9745800491
K01129	1713.6970226069
K01130	44.0553595023
K01139	648.1512734554
K01141	112.000168945
K01142	828.834956949
K01147	206.6433914406
K01151	7548.4432809729
K01153	5456.7668676517
K01154	6032.107335552
K01155	145.8632632983
K01156	219.9383301759
K01159	2011.8565789689
K01160	42.8605443297
K01161	64.19639933
K01163	118.8948275996
K01166	157.1935413197
K01167	110.3015736542
K01173	143.4646335347
K01174	8552.0509789774
K01175	46.1827254005
K01176	379.2623533144
K01178	53.0165078588
K01179	167.5833756802
K01181	149.7770323878
K01183	59.0559124049
K01185	219.5245740933
K01186	114.161079717
K01187	163.6164044465
K01190	213.9177660951
K01191	118.1389710332
K01192	75.0210600893
K01193	317.5329454319
K01194	23.2449380759
K01197	27.1418122347
K01198	57.2854596602
K01200	60.9194799612
K01201	62.1992712265
K01205	27.9191464377
K01206	175.4074151053
K01207	490.5249607725
K01208	136.7884790084
K01209	88.6665037414
K01214	2058.1775059014
K01215	117.3842766182
K01218	87.5448768806
K01220	3595.8706420823
K01222	309.135985125
K01223	548.7598766512
K01224	29.6091904127
K01226	136.47745589
K01227	17.4199295779
K01232	193.1181009132
K01235	47.3419511191
K01236	101.7739330474
K01239	118.7019693597
K01241	126.0776583103
K01243	5186.7968435076
K01246	615.8951234589
K01247	261.0114091474
K01250	55.8793453133
K01251	301.3639380709
K01255	962.1070225086
K01256	325.485278369
K01258	4462.2768572037
K01259	185.0771375641
K01261	6759.9318604657
K01262	559.1284904374
K01265	4924.4056543457
K01266	142.5386030153
K01267	183.5025118791
K01270	306.6837899732
K01271	7053.5171622026
K01273	92.7762299551
K01274	12.48221859
K01277	21.2813357428
K01278	46.9202008655
K01281	96.9377390446
K01284	1838.6372262089
K01295	106.6015276033
K01297	228.9119776143
K01299	186.5788685043
K01304	7614.2370501818
K01318	15358.5108555445
K01322	101.2491395784
K01337	13.6632332562
K01338	2204.1163019802
K01347	45.122006056
K01354	108.1182872415
K01356	10927.6209195576
K01358	10301.5628547274
K01361	1079.4304905289
K01372	113.1690262374
K01387	20.8908307293
K01390	40.5653372268
K01407	22.3275824279
K01409	8223.5287805742
K01414	259.2871315718
K01419	6902.571684913
K01420	402.9894343267
K01421	236.1529631315
K01423	88.1322851628
K01424	3176.6904011049
K01425	217.5796765606
K01426	576.5360664601
K01428	6885.4880152751
K01429	7506.5343147606
K01430	6846.2538859354
K01432	31.8954920162
K01433	997.6887106985
K01434	106.5029281616
K01436	127.5860077935
K01438	340.4770257995
K01439	13787.1402226555
K01442	125.9637332677
K01443	5829.0937491648
K01444	18.8450500167
K01447	154.429731533
K01448	6342.3580050764
K01451	688.4823107112
K01455	118.1774426636
K01457	30.6381801023
K01458	131.9777379917
K01460	10.1083765546
K01462	15864.4002261399
K01463	21.8554554173
K01464	221.5078701468
K01465	7038.3734388047
K01467	54.1887202669
K01468	6814.9729898897
K01469	145.1986434452
K01470	350.1204520952
K01473	45.0479222015
K01474	48.7537276619
K01476	4102.7007652715
K01477	108.138926958
K01478	1678.4958916148
K01479	4979.5400500171
K01480	316.388941015
K01483	127.2259319283
K01484	60.7461971913
K01485	108.5456953289
K01486	78.8622769521
K01487	178.7430263263
K01488	124.5623404428
K01489	557.6477751301
K01491	8501.3229687676
K01493	610.9742924992
K01494	1176.4938331847
K01495	2757.8361469742
K01496	410.8709622436
K01497	437.3360301698
K01501	24.3150365633
K01502	26.1430144613
K01505	83.8856220667
K01507	1078.2699379708
K01512	8468.0773235332
K01515	7158.886040114
K01520	2093.5996364323
K01523	265.8527303562
K01524	1781.4394654113
K01525	248.9104117991
K01531	273.5096547702
K01533	535.9802649287
K01534	605.4334761339
K01537	381.3101249716
K01545	8329.1834886749
K01546	10508.2952686937
K01547	8128.0497708289
K01548	11326.9003980283
K01551	146.454142608
K01555	143.8408422193
K01556	156.6568499726
K01560	277.8406894794
K01561	51.9063582078
K01563	34.5488754157
K01569	18.5887585486
K01571	136.1717160611
K01572	148.8365155287
K01573	80.8776148719
K01574	97.355385448
K01575	6414.2548205335
K01576	139.2813780815
K01578	80.1270906794
K01579	8435.3639176031
K01581	32.5593185907
K01584	123.7397781935
K01585	352.9662178291
K01586	9927.6511234523
K01588	8600.4501668057
K01589	7208.0698756798
K01591	8555.6279639008
K01595	718.2706059008
K01596	193.0976622707
K01597	311.5212671582
K01598	32.9849182601
K01599	8870.2612610332
K01601	99.6545936073
K01602	68.4269494022
K01607	305.4202188091
K01608	107.3096923202
K01609	3369.1467619372
K01610	5983.9084370792
K01611	102.706081033
K01613	1784.9554750203
K01617	35.3482711225
K01619	4203.0632345217
K01620	3925.0801793366
K01621	1789.0449271039
K01623	6806.1119104729
K01624	9067.177381445
K01625	769.9054465855
K01626	2418.9500077955
K01627	1183.0221027756
K01628	500.4972036266
K01629	76.0823200854
K01630	65.2219113207
K01631	61.2757240765
K01633	10145.9668265415
K01635	4055.625787194
K01637	217.5068000401
K01638	97.7497626325
K01639	7160.7571923118
K01640	214.7724567472
K01641	141.5108938152
K01643	112.7450211154
K01644	586.9094051941
K01646	271.3868987955
K01647	5918.8516782505
K01649	3713.2076377414
K01652	1115.8344939044
K01653	1075.943347013
K01654	23.211094721
K01657	2731.274010763
K01658	456.1372219631
K01659	73.6141084302
K01661	7724.5453433875
K01662	1229.6973578312
K01664	5785.6406957744
K01665	5974.1642428005
K01666	136.0979754468
K01667	13.249041873
K01668	168.509177298
K01669	6943.5012489705
K01673	1540.7739619815
K01674	99.8226985555
K01676	188.383144327
K01677	135.3121299236
K01678	107.759824255
K01679	5636.0720623648
K01681	4823.8726334069
K01682	647.0524261552
K01684	197.1540694767
K01685	138.351710108
K01686	326.5035252982
K01687	8871.4238799859
K01689	8440.7968384006
K01690	143.3406016908
K01692	178.4856329708
K01693	3396.8003972172
K01695	4372.8454402944
K01696	5987.9746309261
K01698	4106.4858144762
K01699	51.3753048027
K01703	6014.0429662729
K01704	7961.3399053926
K01706	94.4996154829
K01707	130.7855862295
K01708	105.3489012739
K01709	34.6512590461
K01710	643.6815396763
K01711	409.2625234596
K01712	1796.6371717473
K01713	12.1211477314
K01714	8422.9978654502
K01715	85.0500097418
K01716	161.5296041798
K01719	987.7356287875
K01720	126.3489076617
K01721	40.0534884092
K01724	335.0501579605
K01725	176.1959749806
K01727	997.6102538175
K01728	25.3311732532
K01733	1160.2717081459
K01734	332.5728621614
K01735	5566.9716616435
K01736	10023.2760304916
K01737	7911.328760799
K01738	8942.03601822201
K01739	198.8257314546
K01740	301.3336312756
K01744	2050.127843686
K01745	4832.5147098598
K01749	8206.1112070903
K01750	185.2790421295
K01751	209.2627592469
K01752	1337.8681026338
K01753	148.4243439609
K01754	13192.4219116432
K01755	7751.5591979368
K01756	5384.6000316276
K01759	475.5747923103
K01760	405.0466798621
K01761	162.2213353848
K01766	69.9682143431
K01768	370.0970825036
K01770	1598.9906377295
K01771	6220.7127633011
K01772	8049.8806932455
K01775	11372.5949475824
K01776	6902.4140538048
K01778	1075.2277847472
K01779	388.2599724634
K01782	92.6393452927
K01783	938.722234006
K01784	9330.2934578012
K01785	578.4255877103
K01787	117.582146005
K01788	7311.1689696539
K01790	2282.9431717798
K01791	716.2340692605
K01792	165.3790050314
K01796	65.5840358564
K01799	93.2045842803
K01801	121.0780788551
K01802	2036.4455536203
K01803	8731.6894314249
K01804	49.3608148474
K01805	350.8383689393
K01807	6269.6188373741
K01808	431.3355717028
K01809	479.7950606859
K01810	11061.0680741708
K01811	15.7977774948
K01812	290.6568054208
K01813	90.3659503404
K01814	6890.8548153473
K01815	82.9137231157
K01816	66.7494820914
K01817	6343.0857928162
K01818	77.1487512276
K01819	15307.5736753931
K01821	12810.1890203062
K01823	7293.9544817022
K01826	190.7417012592
K01834	16227.5719243587
K01835	6500.760318761
K01838	46.2767695278
K01839	6743.917940189
K01840	232.7948325942
K01841	49.6407607686
K01843	93.2037428551
K01844	79.103719056
K01845	10702.2442922441
K01846	84.0915071524
K01847	87.2670485765
K01854	1365.577375907
K01856	106.2452888717
K01857	80.7194168149
K01858	17.5194790394
K01866	7948.2782875011
K01867	7553.4886717649
K01868	10223.3824480356
K01869	5227.9194527008
K01870	4296.6341673939
K01872	9848.3584334461
K01873	4938.0397672674
K01874	7041.1152835533
K01875	7848.3300938402
K01876	8128.8319545787
K01878	1356.3366048077
K01879	2171.7809486091
K01880	3986.699579665
K01881	9150.36665710039
K01883	6423.7985173541
K01884	49.4009984413
K01885	1692.1997533925
K01886	587.6210057074
K01887	9272.1864966397
K01889	8917.3285942903
K01890	8107.2725781044
K01892	7549.25746348
K01893	8507.8065430327
K01894	175.0073454781
K01895	1206.3294473672
K01897	1205.0729505611
K01902	7676.4420344601
K01903	7433.0272737542
K01906	6565.1026141078
K01907	65.9291320152
K01908	66.8156274971
K01910	209.1563282961
K01911	3850.4461471649
K01912	1371.001755678
K01914	1607.8118402146
K01915	7743.5914913816
K01916	7912.965971849
K01918	10764.80742698
K01919	1345.1931461068
K01920	290.5372773125
K01921	9297.7475162611
K01923	7542.1094487995
K01924	8282.7658697486
K01925	5070.8223180391
K01926	6400.6027898503
K01928	1293.9931515354
K01929	2018.9399789132
K01932	73.7851515948
K01933	9255.8194232523
K01934	2374.8007024495
K01935	4920.9575892172
K01937	8806.4587398034
K01938	8089.5857956701
K01939	7434.0274229811
K01940	7654.1011265635
K01941	33.4507227406
K01945	5398.1337317171
K01947	71.8664049179
K01950	1973.7091247731
K01951	8759.884448893
K01952	14808.0812839396
K01953	1939.6893709646
K01955	8226.0123811796
K01956	8747.0758519289
K01958	84.5468352738
K01959	471.0503852461
K01961	722.646692961
K01962	7702.9443800888
K01963	8554.8097722323
K01965	31.1471089137
K01966	25.4975140031
K01968	98.1186006947
K01969	66.0671878133
K01971	56.8762859659
K01972	8697.0769476071
K01974	20.8852700525
K01975	33.0747100241
K01989	481.7001881884
K01990	32032.9436598913
K01991	369.1921125914
K01992	24251.9561838335
K01993	327.5568074166
K01994	78.5078311908
K01995	1020.5713052031
K01996	1008.8664351595
K01997	1694.9854528166
K01998	1518.646129185
K01999	1535.8229079085
K02000	156.8073878107
K02001	138.9546661356
K02002	279.1691089872
K02003	2891.3002511322
K02004	7423.6802271997
K02005	723.2723355564
K02006	165.6145051466
K02007	2067.4071707973
K02008	171.5087458038
K02009	92.3415909965
K02010	1019.1555679514
K02011	1114.3770948235
K02012	7785.0634975854
K02013	8687.6415432003
K02014	3082.8208529048
K02015	22837.9849041575
K02016	21487.8919494678
K02017	867.2137625031
K02018	7730.3990263982
K02019	1461.4154318351
K02020	1706.9575841834
K02021	34.32049282
K02022	29.5419972607
K02024	54.3282912109
K02025	1702.3508794321
K02026	2804.9932234747
K02027	3954.6749633801
K02028	922.3804202755
K02029	3511.7968944639
K02030	2149.3582447005
K02031	9918.7774271788
K02032	6192.7820274701
K02033	6872.846585354
K02034	13104.9204982213
K02035	2612.9180001669
K02036	7512.0419263438
K02037	1069.2157735383
K02038	420.238106441
K02039	512.3898480863
K02040	4972.7564847942
K02041	7865.0071899284
K02042	4045.8743640652
K02044	291.8726142444
K02045	291.2715779871
K02046	183.0101912325
K02047	158.3115801027
K02048	227.8545282917
K02049	1839.4367560957
K02050	713.9799705381
K02051	652.0871837803
K02052	231.8291132345
K02053	428.6232477057
K02054	213.9454571545
K02055	1019.2141904706
K02056	770.6860258968
K02057	1586.7249328095
K02058	177.1068497762
K02062	73.4459556576
K02063	80.6597357692
K02064	111.2891160861
K02065	434.4401065959
K02066	771.9815492376
K02067	1114.24758012
K02068	224.0467735752
K02069	244.5969618346
K02071	11392.9601056946
K02072	705.4098390859
K02073	1280.3761807123
K02074	116.987397774
K02075	311.6566858277
K02076	5000.7555446648
K02077	276.7064551356
K02078	13497.6191034721
K02082	109.3119833859
K02086	119.2044077525
K02092	43.9130540067
K02093	185.2861243638
K02094	165.4509951734
K02095	320.2533753792
K02096	111.1645470845
K02097	101.5681364408
K02099	42.7037165252
K02100	30.9702013762
K02103	34.0216640068
K02106	60.7028453956
K02107	63.6830231201
K02108	8534.0092846263
K02109	8867.2580548318
K02110	9329.194533817
K02111	10767.8897524708
K02112	6516.9516277455
K02113	8466.8850116995
K02114	9166.8149178829
K02115	8755.783281616
K02116	348.1790794526
K02117	300.9955216629
K02118	658.5661477858
K02119	1338.0993404733
K02120	509.928011294
K02121	1264.1908195353
K02122	1329.7760272997
K02123	368.7032392261
K02124	183.0170586608
K02160	1257.9123724356
K02167	92.3025473267
K02168	111.4927506251
K02169	544.4603454084
K02170	48.6919913277
K02171	57.9768828898
K02172	426.4494663945
K02182	1072.6734196643
K02188	338.2426906141
K02189	273.7303366167
K02190	61.6257187571
K02191	150.3306327463
K02192	159.8391219223
K02193	167.2924902337
K02194	90.3558246976
K02195	63.2955283669
K02196	124.3612802669
K02197	94.613845397
K02198	28.9444966362
K02199	219.0353348473
K02200	141.2441279436
K02203	36.6046643479
K02204	283.0108545306
K02205	25.2984220879
K02217	9290.5644201554
K02221	1154.8361266407
K02224	335.4532774098
K02225	13.3102427451
K02226	182.6241765038
K02227	2243.9879792917
K02228	25.215806603
K02229	91.0140914495
K02230	80.5052597086
K02231	284.4252224078
K02232	357.5980785244
K02233	393.3727786137
K02234	77.9571485383
K02236	205.477525945
K02237	2329.2097939818
K02238	744.9857305069
K02240	90.485483457
K02241	60.3324251906
K02242	4129.2980316855
K02243	81.2734310436
K02244	144.3810271075
K02245	47.1533643137
K02246	130.6392919736
K02248	66.9823915625
K02250	139.2248174489
K02257	7073.583465531
K02258	124.5807066445
K02259	6922.5736578381
K02274	223.6846334473
K02275	298.0532044323
K02276	243.0891762989
K02278	87.6103492225
K02279	116.5353823383
K02280	206.7777386956
K02282	218.1060707406
K02283	197.8634633222
K02284	35.9495247048
K02285	74.1990575145
K02286	42.5335400415
K02287	103.9154918127
K02288	37.5514124745
K02289	48.2960043458
K02290	171.5136652009
K02291	180.1176541059
K02293	59.0855028864
K02294	49.5954419476
K02297	144.4673315095
K02298	127.2321511113
K02299	194.3823377996
K02300	109.542769727
K02302	88.653733855
K02303	199.4680635818
K02304	6581.0675703584
K02313	8033.1865867623
K02314	787.10588322
K02315	1922.1042587242
K02316	1106.050112284
K02334	42.8296255721
K02335	2209.5824954981
K02336	59.564655502
K02337	6258.2708567247
K02338	8600.5831851444
K02339	176.0021138849
K02340	688.3538753181
K02341	1188.5442777657
K02342	1034.1364863347
K02343	645.6243565166
K02344	137.4042619184
K02346	7524.6244588394
K02347	71.8052232234
K02348	306.0777671076
K02351	106.5884126087
K02352	6637.641348889
K02355	7578.3738363198
K02356	10624.038110021
K02357	10029.121696531
K02358	11477.2398347953
K02361	109.0729271492
K02371	278.5782775163
K02372	7632.6685816221
K02377	282.2371800278
K02379	8197.7539860108
K02380	155.1562490076
K02381	61.3216539691
K02383	16.0889392718
K02385	43.0147058824
K02386	742.9360879552
K02387	252.4215106752
K02388	779.75647195
K02389	742.5543575711
K02390	191.3003153001
K02391	104.6888573175
K02392	1233.4771800723
K02393	746.3847504603
K02394	705.3501203505
K02395	106.2117837085
K02396	716.0537571209
K02397	407.3586873005
K02398	138.7083398085
K02399	35.2741383052
K02400	702.3980860743
K02401	781.2960226795
K02402	106.627612669
K02403	105.0290707955
K02404	681.4143881814
K02405	226.1348086418
K02406	990.5447094718
K02407	738.5267015381
K02408	232.4281076924
K02409	278.6770233466
K02410	273.2682288828
K02411	224.6375417509
K02412	723.2995558495
K02413	43.570365688
K02414	44.6969969757
K02415	783.2227284745
K02416	283.4614708793
K02417	282.1354220405
