KO	oral_8
K00348	1.27415228621401e-05
K00349	1.17235145922269e-05
K00350	1.95785977587833e-05
K00351	1.16190993122896e-05
K00354	2.54748396246558e-05
K00355	0.000126938912807508
K00356	2.8910555899301e-05
K00360	9.35075939559471e-09
K00362	0.00019833329762796
K00363	4.91271087674268e-06
K00364	0.000456571493453954
K00365	0
K00366	2.36440630431466e-07
K00367	4.08525012284053e-06
K00368	1.24286181883539e-05
K00370	7.46920401267134e-06
K00371	6.53384492313251e-06
K00372	1.04517259701934e-05
K00373	6.52449416373692e-06
K00374	6.52449416373692e-06
K00375	0.000542222993838314
K00376	1.38994516753207e-05
K00380	1.4017448167886e-05
K00381	2.44196273920578e-06
K00382	0.00231099105241121
K00383	0.00135100308852253
K00384	0.00100995257593378
K00385	2.36440630431466e-07
K00387	0
K00389	0
K00390	7.79379361907491e-06
K00392	3.39148800240279e-06
K00394	0
K00395	0
K00400	0.000196638750619327
K00404	4.33331409893787e-05
K00405	4.34214121580732e-05
K00406	5.12855957887189e-05
K00407	4.32448698206843e-05
K00410	0
K00411	4.46084656080699e-05
K00412	4.46310163040359e-05
K00413	4.46084656080699e-05
K00423	0
K00424	1.24225951756118e-06
K00425	8.90018647583998e-05
K00426	8.89586174961952e-05
K00427	4.37240266707022e-05
K00428	8.86778280542279e-05
K00432	0.000586889227820439
K00433	9.21745786393376e-05
K00435	1.15902269819346e-07
K00436	8.40677797089657e-07
K00437	9.72033702884916e-07
K00441	1.33983023911164e-06
K00442	0
K00443	0
K00446	1.18220315215733e-06
K00448	6.66130288371888e-07
K00449	1.03675749666055e-06
K00450	5.60451864726438e-09
K00451	6.61454908674094e-07
K00452	0
K00453	6.56779528976294e-07
K00455	1.98725900869234e-06
K00457	1.99806952552691e-06
K00459	0.000518277362201292
K00462	0
K00464	9.35075939559471e-09
K00466	6.84831807163078e-07
K00467	6.22270248624483e-06
K00469	0
K00471	4.44371092315268e-07
K00472	0
K00476	6.13532266771669e-07
K00477	1.18220315215733e-06
K00479	6.99465745617184e-07
K00480	5.57299322987352e-07
K00481	9.91737088754205e-07
K00483	2.55297995212582e-06
K00484	6.92438278869514e-06
K00486	0
K00491	0
K00493	8.8271168694414e-08
K00494	3.04301502729751e-06
K00496	1.18687853185513e-06
K00499	6.62384047623558e-07
K00500	6.56779528976294e-07
K00505	5.49455816951475e-07
K00507	1.74169470873631e-06
K00508	0
K00514	0
K00518	0
K00520	0.000241248253158643
K00523	1.53842562433091e-06
K00525	0.000706907527302135
K00526	0.000632311612058757
K00527	3.25762646372242e-06
K00528	5.23364297981193e-05
K00529	0.000319696485247583
K00531	0
K00532	2.36440630431466e-07
K00533	7.09321891294398e-07
K00534	0
K00537	0.000972154324463647
K00542	0
K00547	0.000369385230566381
K00548	1.2764353209252e-05
K00549	0.00059060647881298
K00554	0.000524615754424934
K00556	6.56779528976294e-07
K00557	0.000446339688963497
K00558	0.00134816682107188
K00560	0.000479963943205892
K00561	0.000431079665453987
K00563	0.000381793429263662
K00564	0.000630976861966496
K00566	0.000607602411646373
K00567	0.000451299397971319
K00568	1.95387990333023e-05
K00569	5.25423623181036e-07
K00570	8.57246155340632e-06
K00571	0.00104862978057264
K00573	4.52624235825048e-05
K00574	6.82159508368137e-05
K00575	0.000116302180582687
K00577	0
K00584	0
K00588	2.99980714902936e-06
K00590	9.74979414722703e-07
K00594	0
K00595	4.36476231315092e-06
K00596	9.94802059889428e-08
K00598	1.62514123244996e-05
K00600	0.000655086309536231
K00602	0.000524541823320513
K00603	9.62576077667657e-05
K00604	0.000607319677086154
K00605	8.45202278289271e-05
K00606	5.08342603217873e-05
K00608	0
K00609	0.000511142674079495
K00610	1.97033858692888e-06
K00611	0.00053575808378921
K00612	1.24237083612541e-06
K00613	2.10169449272414e-06
K00615	0.00087338359435048
K00616	0.00050035788690708
K00619	1.56622993504927e-05
K00620	4.25614411850218e-05
K00622	1.12090372945288e-08
K00624	0
K00625	0.000518292368414878
K00626	0.000595272530809777
K00627	0.000911886513760449
K00631	9.6780112369818e-06
K00632	0.000388521724284829
K00633	3.79561699813327e-05
K00634	2.01002365507804e-06
K00635	0
K00638	6.41855182901438e-05
K00639	1.18320075036289e-05
K00640	0.000824616196808002
K00641	2.91175165484074e-05
K00643	6.67988566270823e-07
K00645	0.000525369492796006
K00646	6.08407160074369e-07
K00647	0.000283096161855868
K00648	0.000571879371150612
K00651	0.000359498879794267
K00652	6.1047868904591e-05
K00655	0.000542904642547431
K00656	0.000723382518975596
K00657	0.000740330256805236
K00658	0.000222879053340823
K00661	0.00109965384680954
K00662	0.000118002296341612
K00663	0.000139645960515922
K00666	6.18448142242811e-05
K00672	0
K00673	1.32290981734818e-06
K00674	0.000567418932934132
K00675	6.30475813846769e-06
K00677	7.11822686105493e-05
K00680	0
K00681	2.91762063432292e-05
K00684	4.19813474921647e-05
K00686	0
K00687	0.00037529998373224
K00688	0.000693279879268322
K00689	2.85931388751282e-05
K00690	0.000262918604647432
K00691	0.000145308265566424
K00692	6.81144722079945e-06
K00693	1.31355905795259e-06
K00694	7.6467444364138e-05
K00695	0
K00696	1.83898268113362e-07
K00697	3.68553502463511e-06
K00700	0.000394809218960286
K00701	3.60640229061632e-05
K00702	3.46161445860447e-07
K00703	0.000385880089572027
K00705	0.000613587789943798
K00709	0
K00712	0.000263877871593541
K00713	0
K00720	2.68167366395569e-06
K00721	0.000183610023062886
K00728	7.56610017380691e-06
K00737	0
K00748	5.91741598073158e-05
K00752	0.00016847152294182
K00754	8.56715388426368e-06
K00756	0.000376204567606453
K00757	0.000115119414451349
K00758	0.000362183383072574
K00759	0.000723990644663155
K00760	0.000487552139903422
K00761	0.000523283129342727
K00762	0.000535220831722935
K00763	0.000506991618231326
K00764	0.000522232783678006
K00765	0.000137840797831932
K00766	0.000202084233977655
