KO	GI_4
K00135	0.000470170119293932
K00137	7.48035490913308e-05
K00138	0.000114291129560684
K00140	0.000260135487187741
K00141	2.82309771624335e-05
K00145	0.000388223957635823
K00146	0.000153430843829074
K00147	0.000372980634741345
K00148	1.16491479010226e-05
K00150	0.000194185972602916
K00151	8.63570938103346e-05
K00152	0
K00153	3.9146526577261e-05
K00154	0.000215862523261642
K00156	0.000145257029469448
K00158	8.95878546206252e-05
K00161	0.000250115557292361
K00162	0.000364109853584079
K00163	9.82809251388766e-05
K00164	0.000138173699460732
K00166	0.000107441266912931
K00167	0.000163616527275931
K00169	1.60402587579626e-05
K00170	1.67649075905588e-05
K00171	1.71996968901165e-05
K00172	1.60402587579626e-05
K00174	0.00012914051090844
K00175	0.000127981072776286
K00176	0.000118774889305289
K00177	0.000117201661564231
K00179	0.000129963729207308
K00180	0.000121229647835772
K00183	1.53509350074844e-05
K00184	0.000158014487821917
K00185	0.000103561271547664
K00186	9.27550505723149e-05
K00187	7.70006056480726e-06
K00188	8.30930661376987e-05
K00193	1.40439223276926e-06
K00194	2.5638303649232e-06
K00196	4.70602970465723e-05
K00197	3.15909544607926e-06
K00198	0.000132492032633222
K00200	2.36620026970191e-06
K00201	0
K00202	8.69578599115452e-05
K00205	1.40695452669251e-05
K00208	0.000418239226560959
K00209	1.50559201736591e-05
K00210	2.12241502696634e-05
K00214	0
K00215	0.000380452182563161
K00216	8.77089067039749e-05
K00217	5.91580325740947e-05
K00218	1.96731608174961e-05
K00219	0.000269385326557192
K00220	0.00017580496959386
K00221	0
K00226	0.00012400833092059
K00228	5.21820379926483e-05
K00230	1.17228945346456e-05
K00231	7.42556168513878e-06
K00232	0
K00239	0.000390220006744903
K00240	0.000247291810317683
K00241	0.000138491114323018
K00242	5.2142500460435e-05
K00243	4.3118223070769e-05
K00244	0.00027269042873483
K00245	2.62358690878489e-05
K00246	2.4541440463925e-05
K00247	1.93239688692323e-05
K00248	0.000354881231797687
K00249	0.000981843260645376
