reactions	oral_8
K00647	54.6544610051228
K00648	54.6544610051228
K00651	0.142142857142857
K00652	0.525694444444444
K00655	55.1584610051228
K00656	46.1937329472329
K00657	0.8025
K00658	0
K00661	0.929642857142857
K00665	54.1994610051228
K00667	54.1994610051228
K00668	54.1644610051228
K00672	0
K00673	0
K00674	1.69785714285714
K00677	9.15472805788982
K00681	0.61
K00688	0.127142857142857
K00690	0
K00691	0.694642857142857
K00697	0.125
K00703	0.0171428571428571
K00705	45.5997845345345
K00713	1.24285714285714
K00748	9.15472805788982
K00756	46.0304273916774
K00757	46.0304273916774
K00758	46.0304273916774
K00759	55.1584610051228
K00760	55.1584610051228
K00761	2.95719444444444
K00762	54.6544610051228
K00763	54.8677665606783
K00764	54.6544610051228
K00765	8.27117647058824
K00766	1.66285714285714
K00767	1.19464285714286
K00768	2.5425
K00769	47.3472845345345
K00772	0
K00777	0.873551587301587
K00787	55.1584610051228
K00788	9.03617647058824
K00790	55.1584610051228
K00793	9.59187091503268
K00794	9.13687091503268
K00795	55.1584610051228
K00796	10.3043709150327
K00797	0.465
K00798	2.52535714285714
K00800	10.2036764705882
K00804	55.1584610051228
K00805	1.9375
K00806	3.02935714285714
K00810	0.58
K00811	54.9077665606783
K00812	54.9077665606783
K00813	54.9077665606783
K00814	0.11
K00815	10.5576764705882
K00817	10.5576764705882
K00818	0.672142857142857
K00819	0.165
K00820	54.9077665606783
K00821	0.822142857142857
K00822	0.125
K00823	0.125
K00824	0.125
K00826	55.1584610051228
K00827	0.142142857142857
K00830	0.142142857142857
K00831	9.32687091503268
K00832	54.9077665606783
K00833	0.575
K00835	0
K00838	10.5576764705882
K00840	0.165
K00841	0
K00844	1.64819444444444
K00845	1.23819444444444
K00848	0
K00849	1.38285714285714
K00850	47.1572845345345
K00851	0.9475
K00852	0.791142857142857
K00853	0
K00855	1.2875
K00856	2.22535714285714
K00857	1.2875
K00858	55.1584610051228
K00859	55.0084610051228
K00860	0.125
K00861	55.1584610051228
K00863	0.11
K00864	2.2065
K00865	1.4425
K00867	55.1584610051228
K00868	2.3925
K00869	1.23035714285714
K00872	9.88017647058824
K00873	54.8584610051228
K00875	0.5
K00876	46.4982845345345
K00877	1.20785714285714
