KO	skin_14
K00450	1.13216123097183e-06
K00451	3.07381715691163e-06
K00452	0
K00453	3.13218650051384e-06
K00455	1.22848134672489e-07
K00456	0
K00457	3.07381715691163e-06
K00459	0.000419243553133656
K00462	0
K00464	0
K00466	0
K00467	6.5083373475425e-06
K00469	0
K00471	7.84137029824398e-09
K00472	0
K00476	0
K00477	2.94835523213973e-06
K00479	1.22848134672489e-07
K00480	6.17401528445581e-05
K00481	0
K00483	0
K00484	0
K00485	0
K00486	2.8812465306564e-05
K00491	0.000318852067045512
K00493	0
K00494	1.99954942605221e-07
K00496	3.06597578661339e-06
K00499	6.2626410781975e-06
K00500	0
K00504	0
K00505	0
K00507	3.06597578661339e-06
K00508	2.68272881328672e-06
K00514	8.54766648682209e-07
K00518	0
K00520	0.000407372179779583
K00523	8.94700351029638e-06
K00524	0
K00525	0.000482702307550708
K00526	0.000429448175970788
K00527	0
K00528	4.91784607204868e-05
K00529	0.000136978385032096
K00531	8.54766648682209e-07
K00532	1.83958547196803e-05
K00533	4.28850772004432e-05
K00534	0
K00537	0.000451044936480948
K00544	0
K00547	0.000358713246252889
K00548	0.000233928460895578
K00549	0.000410801840773382
K00554	0.000429270702791216
K00555	0
K00556	3.06597578661339e-06
K00557	4.6068549834726e-05
K00558	0.000255487311964178
K00560	0.000434599842558234
K00561	0.000175270447177571
K00563	8.65987967823381e-05
K00564	0.000459634125150766
K00566	0.000768039534009083
K00567	0.000457191714079671
K00568	7.27311233708755e-06
K00569	2.94835523213973e-06
K00570	2.32922638117346e-05
K00571	0.000440169919654488
K00573	1.11380280845291e-05
K00574	3.65708351959375e-05
K00575	4.18154642362447e-05
K00577	0
K00584	8.54766648682209e-07
K00587	0
K00588	0.000254124719517966
K00590	1.16799077585272e-06
K00594	0
K00595	7.91404999919582e-05
K00596	2.95619660243798e-06
K00598	1.62715236943768e-05
K00600	0.000424681744503432
K00602	0.000429472495801908
K00603	1.19707209655968e-05
K00604	0.000437338993055221
K00605	0.000362702926434278
K00606	0.000315606938774808
K00608	0
K00609	0.000449606605416153
K00610	2.45278062929071e-05
K00611	0.000730328960676172
K00612	1.5682740596488e-08
K00613	0
K00615	0.000604541117916478
K00616	0.00046552939065719
K00619	0
K00620	0.000362075325312594
K00622	0
K00624	0
K00625	0.000431650048903701
K00626	0.000991491183495561
K00627	0.00106506726259248
K00631	3.06597578661339e-06
K00632	0.000681844870498297
K00633	0.000352235212476813
K00634	3.63541207993536e-05
K00635	0
K00638	0.000205537263941867
K00639	0.000561864997945163
K00640	0.000516322822398412
K00641	0.000349653661101728
K00643	2.75009461074162e-05
K00645	0.000420355995201787
K00646	3.02739197446907e-06
K00647	0.000304065502905174
K00648	0.000448367742081109
K00651	5.82535399456545e-05
K00652	0.000634942229551556
K00655	0.000523749786254218
K00656	0.000478019766995454
K00657	0.000120812885068336
K00658	0.000690345749482409
K00661	0.00108632000939461
K00662	2.2943045409317e-05
K00663	5.97595662309033e-05
K00666	0.000444282670419103
K00672	0
K00673	0
K00674	0.000408259801598494
K00675	0.000315023332576229
K00677	3.68740438274923e-05
K00680	0.00029283064080994
K00681	0.000350538626057659
K00684	2.56628715215736e-05
K00686	3.85838121443215e-08
K00687	3.64096557363154e-05
K00688	0.000117199417410423
K00689	1.46734230837592e-05
K00690	1.63739832795952e-05
K00691	1.83958547196803e-05
K00692	8.09880396463915e-06
K00693	9.19792735984017e-06
K00694	2.29237282405758e-05
K00695	0
K00696	3.05813441631515e-06
K00697	2.89351464861639e-05
K00698	0
K00700	9.24115232356153e-05
K00701	2.44864523778308e-06
K00702	2.98049912174517e-05
K00703	7.33361624563995e-05
K00705	0.000128653947705403
K00709	0
K00712	0.00104759330641909
K00713	0
K00720	5.20637397726802e-07
K00721	0.000137744182745695
K00728	3.67531256272164e-05
K00737	0
K00748	1.84036960899786e-05
K00752	3.36588622735475e-05
K00754	0.000330619677453776
K00756	0.000377900704710905
K00757	4.38310323193016e-05
K00758	9.10948437479256e-05
K00759	0.000426101330018472
K00760	0.00042995203327158
K00761	0.000426170634339261
K00762	0.000453810038262987
K00763	0.000420242257983757
K00764	0.000448019627748483
K00765	0.000343601587450131
K00766	0.000403860605251756
K00767	6.24763294091888e-05
K00768	5.60037469955789e-05
K00769	4.90556125858143e-06
K00771	0
K00772	6.94813440976467e-06
K00773	0.000426664081456335
K00776	0
K00782	3.44070616053281e-05
K00783	0.000405832009274937
K00784	0.000383391883746386
K00785	3.06597578661339e-06
K00786	7.14553466887348e-05
K00788	0.000488196797781519
K00789	0.00043742822776905
K00790	0.000809725533147676
K00791	0.000460598223818045
K00793	0.000389705143407416
K00794	0.000389290352352105
K00795	0.000368311213002017
K00796	0.000433048811485387
K00797	3.69923482376687e-05
K00798	7.17554567141169e-05
K00799	0.000314835353271221
K00800	0.000447167489884772
K00801	3.34054078242952e-06
K00803	3.21265841975492e-05
K00805	0.000409732663374776
K00806	0.000457320762706471
K00808	0
K00809	0
K00812	0.000251767128855984
K00813	3.04166753868884e-05
K00817	0.000804824692945566
K00819	0.000607013375909177
K00820	0.000423878753035409
K00821	0.000754664398596631
K00822	5.12522953089224e-05
K00823	0.000705572934306288
K00824	0.000334065898816088
K00826	0.000680080984493138
K00830	0.000337313520218124
K00831	8.27970289791581e-05
K00832	3.45256107093418e-05
K00833	0.000373411688446639
K00835	0
K00836	8.62474199225317e-05
K00839	2.14004326542628e-05
K00840	1.88990093138177e-05
K00841	0.000412895507834237
K00842	0
K00844	6.13195157322678e-06
K00845	0.000625896509215856
K00846	0
K00847	0.000730447966506289
K00848	4.52848363574726e-05
K00849	0.000110261534651246
K00850	0.000433222378648472
K00851	0.000397964035868605
K00852	0.000705064821545703
K00853	0.000437667144598513
K00854	0.000194858496466886
K00855	0
K00856	3.07381715691163e-06
K00857	0.000393421985478569
K00858	0.000451245317638974
K00859	0.000432513344335067
K00860	6.84463159216931e-05
K00862	0
K00863	0.000372408962038326
K00864	0.000451201694975306
K00865	0.000751735181586228
K00867	7.0563203924744e-05
K00868	0.000513955078217786
K00869	0.000364851118606994
K00872	0.000375528760789374
K00873	0.000439241043494103
K00874	0.000149903984949726
K00875	8.54766648682209e-07
K00876	0.00044301928673372
K00878	0.000388384662736406
K00879	3.06597578661339e-06
K00880	1.12436010590912e-05
K00881	0
K00882	0.000399937770195944
K00883	0
K00884	3.06597578661339e-06
K00885	3.06597578661339e-06
K00886	3.10760998062614e-05
K00887	0.000348996790780874
K00891	0.000443728314193032
K00892	0
K00895	3.06597578661339e-05
K00897	5.4406798606652e-05
K00899	1.70953329736442e-06
K00901	2.36042822135183e-05
K00903	0.000289985534653686
K00906	5.67976588602804e-06
K00912	1.84036960899786e-05
K00917	0.000369179037135417
K00918	0
K00919	0.000408045183930347
K00925	0.000438485777220151
K00926	0.000633960036716439
K00927	0.000442016448950982
K00928	0.00077409516290475
K00929	1.22034531424154e-05
K00930	0.000363232871642106
K00931	0.000108502670726978
K00932	3.06597578661339e-06
K00936	3.19410611799425e-05
K00937	0.000104135349858851
K00938	0.00036178514282038
K00939	0.000429265534425749
K00940	0.000408084169356237
K00941	0.000764403403312584
K00942	0.000464587825655014
K00943	0.000408872824468889
K00945	0.000483655414595102
