reactions	air_8
K00318	33.0357142857143
K00319	0.25
K00320	0
K00322	4.03571428571429
K00323	4.03571428571429
K00324	4.03571428571429
K00325	4.03571428571429
K00329	399.035714272714
K00357	170.298387096435
K00360	2.28571428571429
K00361	1.53571428571429
K00362	1.53571428571429
K00364	140.048387096435
K00365	0
K00366	0.25
K00368	1
K00370	2.28571428571429
K00371	2.28571428571429
K00372	2.28571428571429
K00374	2.28571428571429
K00376	1
K00380	1.53571428571429
K00381	1.53571428571429
K00382	544.791308576357
K00383	2
K00384	545.261896811651
K00385	1.53571428571429
K00390	3.03571428571429
K00392	2.5
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	1.53571428571429
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	2.5
K00449	2.5
K00451	0
K00453	1
K00455	1
K00457	1
K00463	1
K00466	0
K00472	1
K00480	0
K00483	0
K00484	0
K00491	0
K00500	1
K00518	536.83410136915
K00522	143.548387096435
K00524	541.791308576357
K00525	541.791308576357
K00526	541.791308576357
K00527	9.17779544250132
K00528	396.035714272714
K00529	0
K00531	0
K00540	0
K00547	0
K00548	0
K00549	172.798387096435
K00560	543.791308576357
K00568	1
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	1
K00591	0.25
K00593	2
K00595	0
K00598	1
K00599	173.58410138215
K00600	395.785714272714
K00601	545.261896811651
K00602	545.261896811651
K00603	536.548387083435
K00605	539.58410136915
K00606	537.83410136915
K00607	0.285714285714286
K00608	544.511896811651
K00609	544.511896811651
K00610	544.511896811651
K00611	399.506302508008
K00615	540.054689604444
K00616	174.33410138215
K00618	3.5063025210084
K00620	4.0063025210084
K00625	179.791308589357
K00626	4.03571428571429
K00627	32.7857142857143
K00629	543.511896811651
K00632	4.03571428571429
K00634	0
K00639	1
K00640	545.261896811651
K00641	398.535714272714
K00643	0.25
K00645	181.261896824651
K00647	545.261896811651
K00648	545.261896811651
K00651	0.470588235294118
K00652	3.03571428571429
K00655	545.261896811651
K00656	6.92779544250132
K00657	1.75
K00658	0
K00661	0.5
K00665	182.261896824651
K00667	182.261896824651
K00668	182.261896824651
K00672	0.25
K00673	0
K00674	398.535714272714
K00677	33.7857142857143
K00681	2.25
K00688	0
K00690	0
K00691	0.5
K00697	1.25
K00703	1
K00705	10.2072072072072
K00713	33.5
K00748	33.7857142857143
K00756	151.505594303643
K00757	151.505594303643
K00758	149.755594303643
K00759	545.261896811651
K00760	545.261896811651
K00761	537.304689604444
K00762	544.505594290643
K00763	544.505594290643
K00764	545.261896811651
K00765	5.2563025210084
K00766	396.785714272714
K00767	172.58410138215
K00768	539.58410136915
K00769	514.976182525937
K00772	0.25
K00777	364.499999987
K00787	544.791308576357
K00788	35.5357142857143
K00790	545.261896811651
K00793	396.285714272714
K00794	34.7857142857143
K00795	544.791308576357
K00796	399.035714272714
K00797	1.47058823529412
K00798	539.58410136915
K00800	399.506302508008
K00804	544.791308576357
K00805	173.298387096435
K00806	536.548387083435
K00810	366.035714272714
K00811	545.261896811651
K00812	545.261896811651
K00813	545.261896811651
K00814	0
K00815	540.054689604444
K00817	540.054689604444
K00818	366.506302508008
K00819	1
K00820	545.261896811651
K00821	398.256302508008
K00822	1.25
K00823	1
K00824	1.25
K00826	544.261896811651
K00827	0
