function.	skin_16
K00790	181.9061767
K00791	100.0000008
K00793	94.5032066
K00794	94.5032066
K00795	1.5625
K00796	101.7647023
K00797	0.3644694
K00798	12.6262626
K00799	7.9020198
K00800	99.8958341
K00801	1.9203944
K00803	1.8037518
K00805	97.6304287
K00806	99.8958341
K00808	0
K00809	0
K00810	0
K00812	5.3633956
K00813	0
K00817	170.8534952
K00818	7.5099176
K00819	141.9925458
K00820	100.0000008
K00821	0.9018759
K00822	0
K00823	76.6991349
K00824	81.1773997
K00826	100.9669605
K00829	0
K00830	0
K00831	14.7484836
K00832	1.8037518
K00833	82.4465792
K00835	0
K00836	0
K00837	0
K00839	40.3282832
K00840	0
K00841	83.514168
K00842	3.7878788
K00843	0
K00844	0
K00845	93.8518802
K00847	86.4546057
K00848	2.1031374
K00849	32.9564174
K00850	113.8455996
K00851	86.0808386
K00852	108.0884701
K00853	85.6012512
K00854	18.88005
K00855	0
K00856	0
K00857	96.6467657
K00858	100.0000008
K00859	100.0000008
K00860	16.5089889
K00862	0
K00863	12.2580741
K00864	94.2721032
K00865	176.9654045
K00867	13.8888889
K00868	110.0019672
K00869	79.8691389
K00870	0
K00872	94.9847944
K00873	100.0130176
K00874	29.7394168
K00875	0
K00876	100.434612
K00878	96.2047039
K00879	0.0520671
K00880	0.0650838
K00881	0
K00882	85.7721553
K00883	0
K00884	0
K00885	0
K00886	12.6262626
K00887	0
K00891	95.3232629
K00892	0
K00895	12.6262626
K00897	5.9043677
K00899	0
K00901	85.4273102
K00903	1.9203944
K00906	0
K00912	1.5625
K00917	83.8647777
K00918	0
K00919	97.4027345
K00924	3.8407889
K00925	89.2035235
K00926	159.720364
K00927	100.0000008
K00928	176.5944933
K00929	5.7611833
K00930	83.4661143
K00931	15.2300388
K00932	0
K00934	0
K00936	70.0705639
K00937	37.310786
K00938	79.8821556
K00939	99.986984
K00940	95.3883467
K00941	94.8278478
K00942	100.0000008
K00943	100.0130176
K00945	94.5454553
K00946	14.2929293
K00947	0
K00948	101.1459845
K00949	12.7060493
K00950	93.8751911
K00951	99.7916349
K00952	0
K00954	100.0000008
K00955	0
K00956	0.9018759
K00957	1.8037518
K00958	17.0298222
K00960	0
K00962	99.986984
K00963	106.0215194
K00965	8.7880029
K00966	0
K00968	0
K00969	99.8958341
K00970	12.6262626
K00971	2.913961
K00972	10.8225108
K00973	15.8098892
K00974	83.4816927
K00975	21.9462668
K00978	1.1102092
K00979	1.6666667
K00980	81.7797924
K00981	100.1041675
K00982	12.6262626
K00983	2.998161
K00984	53.784061
K00985	0
K00986	0.0260335
K00988	0
K00989	12.6262626
K00990	1.5625
K00991	148.4750685
K00992	0
K00995	124.4418
K00996	0.2083333
K00997	100.0000008
K00998	0
K00999	0
K01000	99.8958341
K01002	2.1287278
K01003	0
K01004	0
K01005	0.2082683
K01006	36.0085888
K01007	1.8688356
K01008	5.1420455
K01011	3.6075036
K01012	93.1983192
K01013	0
K01014	0
K01023	0.5208333
K01026	3.8538056
K01027	0
K01028	1.9203944
K01029	1.9203944
K01031	0
K01032	0
K01034	0.5467042
K01035	0.5467042
K01036	0
K01039	0
K01040	0
K01041	0.9018759
K01042	5.4545455
K01043	0
K01046	82.3436756
K01048	2.8222703
K01051	0
K01053	0
K01054	0
K01055	0.9018759
K01056	99.8958341
K01057	12.7304293
K01058	1.4583334
K01060	10.4803558
K01061	0
K01066	1.0841106
K01067	0
K01069	3.9579398
K01070	0.0390503
K01071	0.5857545
K01073	0
K01075	0
K01076	0
K01077	78.7491887
K01078	0.1041341
K01079	14.1980929
K01081	11.5639582
K01082	1.6666667
K01083	0
K01085	0
K01087	11.7243867
K01089	1.25
K01090	49.3930224
K01091	93.6911744
K01092	89.7280853
K01093	0
K01095	1.6666667
K01096	0.0911174
K01101	2.4410651
K01103	0
K01104	302.8430564
K01112	1.9203944
K01113	0
K01114	59.5322276
K01115	0
K01117	0
K01118	75.3119521
K01119	11.4723326
K01120	0
K01121	0
K01126	384.5453091
K01128	0
K01129	16.5833594
K01130	0
K01133	0
K01138	1.9334112
K01139	0.4036174
K01141	0
K01142	19.3955015
K01143	0
K01144	0
K01145	0
K01146	0
K01147	0
K01150	0.2083333
K01151	97.3832078
K01152	0
K01153	114.9903732
K01154	156.5936192
K01155	2.3499803
K01156	1.0841106
K01157	0
K01158	0
K01159	18.0808081
K01160	0
K01161	0
K01163	0.2213501
K01166	0
K01167	1.8037518
K01169	0
K01173	1.3541667
K01174	78.8403386
K01175	27.6837722
K01176	5.783163
K01178	0
K01179	7.6815778
K01180	0
K01181	0
K01182	3.7631965
K01183	0
K01184	0
K01185	0.0781006
K01186	6.9764781
K01187	99.5313847
K01190	9.8763408
K01191	20.7394267
K01192	9.9206349
K01193	89.090414
K01194	0
K01195	13.2760844
K01197	1.6308148
K01198	0.0130168
K01199	0
K01200	4.4126836
K01201	0
K01202	0
K01205	0
K01206	13.1469332
K01207	25.6123567
K01208	0.0390503
K01209	11.7374035
K01210	0
K01212	1.8037518
K01214	0
K01215	0.5987712
K01216	0
K01218	0.0390503
K01219	0
K01220	80.011815
K01222	11.9456717
K01223	85.703526
K01224	0.0520671
K01225	0
K01226	77.844102
K01227	16.6164841
K01230	0
K01232	3.8407889
K01233	0
K01234	0.221285
K01235	0
K01236	2.7056277
K01238	2.1546962
K01239	93.0799659
K01240	0
K01241	0
K01243	98.1832322
K01246	85.0414871
K01247	7.6945945
K01249	0
K01250	0.9018759
K01251	0.9018759
K01252	0
K01253	0
K01255	91.2253495
K01256	23.6142723
K01258	87.0256141
K01259	16.4670515
K01261	66.5560372
K01262	46.1638727
K01263	3.8407889
K01264	0
K01265	112.5220967
K01266	0
K01267	0
K01269	43.5271967
K01270	13.3167045
K01271	87.289873
K01273	0.9018759
K01274	0.4555868
K01277	0
K01278	0
K01281	1.2756431
K01283	0
K01284	1.8037518
K01286	0.2863689
K01289	0
K01295	1.0060426
K01297	0.9018759
K01299	0
K01301	0
K01303	0
K01304	86.296545
K01305	0.3125
K01308	0
K01317	0
K01318	51.8506498
K01322	1.8037518
K01325	0
K01338	5.4545455
K01342	0
K01343	0
K01347	0
K01354	0.1041341
K01355	0
K01356	98.193393
K01358	114.702859
K01361	5.3666265
K01362	50.3437764
K01364	0.1562012
K01372	3.968254
K01376	0
K01387	0
K01390	0.0520671
K01392	0
K01399	0
K01400	0
K01401	72.9749886
K01406	0
K01407	0
K01408	0
K01409	101.9464288
K01412	0
K01414	0
K01415	0
K01416	0
K01417	50.3921801
K01419	82.3232331
K01420	6.8129488
K01421	97.9693729
K01422	0.4035197
K01423	14.809912
K01424	100.3125008
K01425	0
K01426	6.101144
K01428	76.9329284
K01429	78.8533229
K01430	78.8533229
K01431	0
K01432	0
K01433	15.1031145
K01434	0
K01436	15.4152226
K01437	0
K01438	18.1854258
K01439	183.1933117
K01442	84.509529
K01443	93.6435794
K01444	0
K01446	14.0285155
K01447	21.28054
K01448	81.4609158
K01449	0
K01451	5.797889
K01452	0
K01453	0.9018759
K01454	0
K01455	7.6815778
K01457	0
K01458	0
K01459	0
K01460	0
K01461	0
K01462	181.8280761
K01463	2.0245286
K01464	0
K01465	101.2500008
K01466	4.7426648
K01467	16.1182581
K01468	81.313665
K01469	0
K01470	0
K01471	0
K01473	0
K01474	0
K01476	71.9564701
K01477	0
K01478	102.9192894
K01479	77.1542134
K01480	1.998495
K01481	0
K01482	0
K01483	0
K01484	0
K01485	0
K01486	0
K01487	0
K01488	21.0628453
K01489	97.4184414
K01491	100.0000008
K01492	0
K01493	97.4314582
K01494	7.3112074
K01495	19.3174009
K01496	12.8605644
K01497	1.6666667
K01498	0
K01499	0
K01500	0
K01501	0.625
K01502	0
K01503	0
K01504	0
K01505	0.625
K01506	0
K01507	15.429107
K01512	79.8561221
K01515	98.3463509
K01518	0.0781006
K01520	68.6385584
K01521	0.0130168
K01523	12.8605644
K01524	38.9774527
K01525	0
K01529	2.8743374
K01531	3.9180465
K01533	116.0049587
K01534	26.5300156
K01535	0
K01537	5.0635219
K01539	0
K01541	0.0520671
K01545	11.5223666
K01546	96.7810848
K01547	99.1181459
K01548	96.9894182
K01550	0
K01551	11.1724387
K01552	1.7480959
K01553	0
K01554	0
K01555	0
K01556	0
K01560	3.8407889
K01561	0
K01563	0
K01564	1.0416667
K01565	0
K01567	0.0911174
K01568	0
K01569	0.0260335
K01571	13.2380506
K01572	1.2142783
K01573	0
K01574	1.9203944
K01575	143.8055953
K01576	0
K01577	0
K01578	0
K01579	76.4057835
K01580	2.7186445
K01581	3.8407889
K01582	3.8798392
K01583	0.1171509
K01584	0
K01585	1.5625
K01586	161.1280467
K01588	99.8958341
K01589	92.6120441
K01590	0
K01591	99.8958341
K01593	0
K01594	0
K01595	1.2626263
K01596	0.9018759
K01597	79.8821556
K01598	1.1845257
K01599	98.9456428
K01601	0
K01602	0
K01607	5.3811573
K01608	0
K01609	95.4701338
K01610	82.4924511
K01611	0
K01612	0
K01613	3.2552003
K01615	0
K01616	0
K01617	0
K01618	0
K01619	169.6675407
K01620	79.8845234
K01621	0.0130168
K01622	0
K01623	93.282829
K01624	101.9209035
K01625	33.60678
K01626	15.8679254
K01627	1.6666667
K01628	3.5518802
K01629	0.9669597
K01630	0
K01631	0
K01632	0
K01633	94.8937096
K01635	80.4934354
K01636	0.2993856
K01637	0
K01638	0
K01639	79.7514797
K01640	0
K01641	78.0784038
K01643	0.3514527
K01644	12.0628226
K01646	0.3514527
K01647	107.9271784
K01649	101.8137756
K01652	162.8864879
K01653	83.3583262
K01654	2.8939943
K01655	0
K01657	86.3472081
K01658	81.6588574
K01659	0
K01661	93.282829
K01662	18.198802
K01664	89.3019488
K01665	80.8119897
K01666	0.1041667
K01667	9.018759
K01668	0
K01669	77.1021464
K01671	0
K01673	11.396104
K01674	0.2733846
K01676	0
K01677	0.2083333
K01678	0.2083333
K01679	98.6332078
K01681	93.7384158
K01682	1.6666667
K01684	3.8407889
K01685	0.9018759
K01686	14.1519268
K01687	88.8013551
K01689	101.8167694
K01690	0.1041667
K01692	12.6262626
K01693	86.2522197
K01695	95.4831506
K01696	93.7320066
K01697	1.8037518
K01698	94.9625125
K01699	1.8167686
K01703	103.469866
K01704	92.9597576
K01706	0
K01707	0
K01708	0
K01709	0.1041667
K01710	4.5412195
K01711	0.5208333
K01712	84.0713598
K01713	0
K01714	107.981821
K01715	0
K01716	0
K01719	94.0606366
K01720	0.0130168
K01721	0
K01724	0
K01725	0
K01726	0
K01727	84.5519636
K01728	0
K01729	0
K01730	0
K01731	0
K01732	0
K01733	99.9870491
K01734	0
K01735	99.0720914
K01736	99.7916675
K01737	94.0147851
K01738	170.6023925
K01739	38.0792588
K01740	15.1873331
K01743	0
K01744	18.982684
K01745	80.464397
K01746	0.1952515
K01749	94.9625125
K01750	95.4495255
K01751	0
K01752	196.6435543
K01753	2.8222703
K01754	149.9675757
K01755	95.6393843
K01756	101.1458342
K01758	0
K01759	10.8377219
K01760	82.5444856
K01761	0
K01766	0
K01768	0
K01769	0
K01770	19.3530544
K01771	59.5322276
K01772	95.9484907
K01774	0
K01775	184.4973561
K01776	99.7916675
K01777	0
K01778	14.1887626
K01779	2.6206097
K01780	0
K01781	0
K01782	0
K01783	103.6194396
K01784	165.2396153
K01785	82.4305656
K01786	31.2698165
K01787	0
K01788	87.8954129
K01790	2.7635012
K01791	218.3869551
K01792	10.8225108
K01795	0
K01796	0
K01797	0
K01798	0
K01799	0.9018759
K01800	0
K01801	0
K01802	5.7758225
K01803	101.8688364
K01804	2.7056277
K01805	0.9279094
K01807	81.9191927
K01808	35.4887858
K01809	174.6193168
K01810	100.0911507
K01811	0.0130168
K01812	15.9817121
K01813	0.0390503
K01814	87.5022197
K01815	0.0260335
K01816	1.8037518
K01817	95.4961673
K01818	17.474078
K01819	160.4011163
K01820	0
K01821	80.3049867
K01822	0
K01823	98.3333341
K01825	0
K01826	3.8407889
K01828	0
K01829	0
K01834	189.9439302
K01835	94.5584721
K01838	0.1301677
K01839	81.9712598
K01840	9.1098764
K01841	0.2734172
K01843	0
K01844	0
K01845	176.5209548
K01846	0.9018759
K01847	25.2525252
K01848	0
K01849	0
K01851	0
K01854	2.0085288
K01856	0
K01857	0.9018759
K01858	0.9018759
K01860	0
K01865	0
K01866	100.0260343
K01867	100.0000008
K01868	107.6685618
K01869	101.9073785
K01870	98.9939582
K01872	100.0000008
K01873	99.986984
K01874	99.0330085
K01875	99.9609505
K01876	99.9739347
K01878	2.929293
K01879	6.704155
K01880	96.1688319
K01881	100.0000008
K01883	99.986984
K01884	0
K01885	28.5858586
K01886	12.6262626
K01887	101.9073785
K01889	99.9739673
K01890	99.8828174
K01892	99.8958341
K01893	85.8242224
K01894	0.2083333
K01895	167.403651
K01896	0
K01897	96.8153792
K01902	93.0415772
K01903	92.9374106
K01904	0
K01905	0
K01906	67.2138053
K01907	0
K01908	0
K01909	0
K01910	0.3774862
K01911	93.282829
K01912	3.7878788
K01913	0
K01914	4.9724045
K01915	115.4485337
K01916	88.1584307
K01917	1.0416667
