KO	skin_18
K00656	0.000343847437483517
K00657	7.19444014504083e-05
K00658	0.000598651709983105
K00661	0.000731108727596511
K00662	2.05648443279568e-06
K00663	8.29361177355067e-05
K00666	0.000640274861418082
K00672	0
K00673	3.9260157353372e-06
K00674	0.000421349645100553
K00675	0.00021796046996988
K00677	4.30185332983574e-05
K00680	0.000194266691830027
K00681	0.00022575462666698
K00684	0.000141336566472139
K00686	0
K00687	1.64216543391104e-05
K00688	0.000239554643766762
K00689	3.32857855822067e-06
K00690	1.60027815299071e-05
K00691	2.00626974904972e-06
K00692	1.9630078676686e-06
K00693	3.9260157353372e-06
K00694	0.000137410550736802
K00695	0
K00696	3.9260157353372e-06
K00697	0.000151642357777399
K00698	0
K00700	0.000229557394849475
K00701	0
K00702	5.8890236030058e-06
K00703	9.42243776480928e-05
K00705	0.000375000791091335
K00709	0
K00712	0.000691393507298872
K00713	0
K00720	9.815039338343e-06
K00721	0.000266355657572733
K00728	0.000141336566472139
K00737	3.88925601225649e-06
K00748	2.15930865443546e-05
K00752	7.76211630952944e-06
K00754	0.000222473379093247
K00756	0.000259589736077022
K00757	8.3753879345567e-05
K00758	7.54385001757699e-05
K00759	0.000451554167724263
K00760	0.000504448624215115
K00761	0.000451491809561815
K00762	0.000586939352430949
K00763	0.000455405002164042
K00764	0.000453454817429484
K00765	0.000351636961703772
K00766	0.000390235809616051
K00767	0.000166278412872715
K00768	0.000162952679501745
K00769	1.9630078676686e-06
K00771	0
K00772	1.21194398786496e-05
K00773	0.000449605455575029
K00776	3.4539727876867e-07
K00782	0.000157003869690407
K00783	0.000310482411067621
K00784	0.000249424093069768
K00785	3.97836561610568e-06
K00786	0.000142645238383918
K00788	0.000648720336151541
K00789	0.000481856937407046
K00790	0.000685110902476107
K00791	0.000591459968406804
K00793	0.000384534267505044
K00794	0.000384163403141859
K00795	0.000274326554768414
K00796	0.00058976252495069
K00797	2.35777253527138e-05
K00798	0.000269913581804433
K00799	0.000273168290344327
K00800	0.000480784496530406
K00801	1.9630078676686e-06
K00803	0.000144387763483842
K00805	0.000478047912992532
K00806	0.000591197783523243
K00808	0
K00809	0
K00812	0.000612802611112161
K00813	0.000143299574339808
K00817	0.00085027904839964
K00819	0.00052977978856978
K00820	0.000455805270940293
K00821	0.000879752236759839
K00822	0.000148072877184527
K00823	0.000683889183921166
K00824	0.000227074160093046
K00826	0.000671783997997834
K00830	0.000231923058468722
K00831	0.000160966645148825
K00832	0.000155077621545819
K00833	0.000413905524388477
K00835	2.00626974904972e-06
K00836	0.000166122388807578
K00839	7.37313935173158e-06
K00840	1.27444223574558e-05
K00841	0.000315998569602766
K00842	4.71121888240464e-05
K00844	3.9260157353372e-06
K00845	0.000430062725980912
K00846	0
K00847	0.000720782180550729
K00848	1.98316203750867e-05
K00849	0.000328656745643859
K00850	0.000455043919036644
K00851	0.000507341417688798
K00852	0.000694532975779853
K00853	0.000579013811284182
K00854	0.000368104040440311
K00855	0
K00856	1.9630078676686e-06
K00857	0.00031152778921413
K00858	0.00046130743669746
K00859	0.000453235350711359
K00860	3.1582529153461e-05
K00862	5.97437177116532e-07
K00863	0.000383524347347131
K00864	0.000416010212819314
K00865	0.000831880974757448
K00867	0.000159003637281157
K00868	0.000753956607192675
K00869	0.000226063226574104
K00872	0.000286092817283214
K00873	0.000469990420694577
K00874	7.96277129692048e-05
K00875	0
K00876	0.000377439334819336
K00878	0.000438278266178133
K00879	2.09023985909156e-07
K00880	2.56044504478513e-06
K00881	6.06169559136554e-06
K00882	0.000432308542019455
