reactions	skin_19
K00602	35.8517110887656
K00603	21.7109912954429
K00605	22.4396301843318
K00606	22.0181579621096
K00607	3.7318253968254
K00608	34.8000999776545
K00609	34.8000999776545
K00610	34.8000999776545
K00611	16.0095277777778
K00615	22.9147020797566
K00616	21.3372377940423
K00618	7.53994444444444
K00620	8.48137301587302
K00625	31.4922229935275
K00626	7.65373015873016
K00627	12.2807777777778
K00629	35.2274610887656
K00632	7.65373015873016
K00634	0
K00639	3.785
K00640	34.2859169711186
K00641	14.7832182539683
K00643	0
K00645	34.3242110887656
K00647	35.7187110887656
K00648	35.7187110887656
K00651	5.98145238095238
K00652	4.3268253968254
K00655	35.8837110887656
K00656	17.6773582153582
K00657	3.4525
K00658	0
K00661	5.67357142857143
K00665	35.2917110887656
K00667	35.2917110887656
K00668	35.1767110887656
K00672	0
K00673	0
K00674	13.102003968254
K00677	12.658048085901
K00681	6.1995
K00688	0.196349206349206
K00690	0
K00691	1.4202380952381
K00697	4.46
K00703	0.0152380952380952
K00705	19.5483701201201
K00713	12.3970396825397
K00748	12.658048085901
K00756	27.0362741139757
K00757	27.0362741139757
K00758	26.3800241139757
K00759	35.8837110887656
K00760	35.8837110887656
K00761	21.4156579621096
K00762	35.7779968030514
K00763	35.7402190252736
K00764	35.7667110887656
K00765	9.17125046685341
K00766	14.4769682539683
K00767	19.5061182795699
K00768	22.5731936763953
K00769	30.52648839969
K00772	0.33
K00777	6.41492063492063
K00787	35.8837110887656
K00788	15.3812504668534
K00790	35.8837110887656
K00793	15.5575004668534
K00794	14.9975004668534
K00795	35.8837110887656
K00796	16.9320361811391
K00797	5.18666666666667
K00798	22.5791698668715
K00800	16.8682504668534
K00804	35.8837110887656
K00805	19.7929436763953
K00806	21.7322055811572
K00810	5.64692857142857
K00811	35.8837110887656
K00812	35.8837110887656
K00813	35.8837110887656
K00814	0.681111111111111
K00815	22.9147020797566
K00817	22.9147020797566
K00818	8.63194444444444
K00819	4.46
K00820	35.8837110887656
K00821	14.2381944444444
K00822	2.66
K00823	3.16
K00824	2.66
K00826	35.5987110887656
K00827	3.0402380952381
K00830	3.0402380952381
K00831	15.3170838001867
K00832	35.8837110887656
K00833	8.8118253968254
K00835	0
K00838	22.9147020797566
K00840	2.66
K00841	5.76145161290322
K00844	20.5486936763953
K00845	17.3364516129032
K00848	0.837777777777778
K00849	6.45828968253968
K00850	30.6727026854043
K00851	6.61111111111111
K00852	9.02781349206349
K00853	1.81825
K00855	1.64861111111111
K00856	16.7609912954429
K00857	11.6057770097286
K00858	35.8837110887656
K00859	30.9337110887656
K00860	3.35121428571429
K00861	35.8837110887656
K00863	0.505333333333333
K00864	15.6924079621096
K00865	14.9763127240143
K00867	35.8837110887656
K00868	21.922479390681
K00869	8.97953968253968
K00872	21.7784520797566
K00873	30.8279968030514
K00875	5.49325
K00876	35.1684169711186
K00877	14.9127182539683
K00878	4.79095238095238
K00879	0.0377777777777778
K00882	26.09023839969
K00883	2.66
K00884	0
K00885	1.03884920634921
K00891	22.0264520797566
K00892	0
K00893	16.7609912954429
K00895	2.1709880952381
K00899	0
K00901	25.1803582153582
K00904	11.3284516129032
K00912	12.658048085901
K00917	30.6727026854043
K00919	16.3420361811391
K00925	31.5074610887656
K00926	0.8375
K00927	35.8837110887656
K00928	0
K00929	0.0152380952380952
K00930	8.03994444444445
K00931	8.8530753968254
