reactions	oral_6
K00278	27.5129429106667
K00281	37.8283494085833
K00282	37.8283494085833
K00283	37.8283494085833
K00284	0.5
K00285	0.5
K00286	31.3394605196944
K00287	76.5882151566844
K00288	77.2953407605491
K00294	20.4111111111111
K00297	66.7719510929474
K00299	0
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00306	0
K00318	20.4111111111111
K00319	0
K00320	0
K00322	16.3310051792778
K00323	16.3310051792778
K00324	16.3310051792778
K00325	16.3310051792778
K00329	31.9800592010556
K00357	32.3545345910425
K00360	9.92651760902778
K00361	0.612942910666667
K00362	0.612942910666667
K00364	0.5
K00365	0
K00366	0
K00368	0.611111111111111
K00370	9.92651760902778
K00371	9.92651760902778
K00372	9.92651760902778
K00374	9.92651760902778
K00376	0
K00380	0.777777777777778
K00381	0.777777777777778
K00382	73.7646857449197
K00383	9.73100517927778
K00384	77.2953407605491
K00385	0.777777777777778
K00390	0.5
K00392	0
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	0.19551242975
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	0
K00449	0
K00451	0
K00453	0
K00455	0
K00457	0.5
K00463	0
K00466	0
K00472	0
K00480	0
K00483	0
K00484	0
K00491	0
K00500	0
K00518	39.9545345910425
K00522	9.92651760902778
K00524	69.9882151566844
K00525	69.9882151566844
K00526	69.9882151566844
K00527	53.3674635226974
K00528	20.9666666666667
K00529	0
K00531	0
K00540	0
K00547	0.111111111111111
K00548	0.19551242975
K00549	29.5310051792778
K00560	73.151742834253
K00568	9.73100517927778
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	0.612942910666667
K00591	0.777777777777778
K00593	6.6
K00595	7.21294291066667
K00598	0
K00599	30.6310051792778
K00600	40.9702552794869
K00601	75.9882151566844
K00602	76.3909929344622
K00603	37.3265176090278
K00605	37.8283494085833
K00606	38.9422382974722
K00607	0.277777777777778
K00608	67.7599877551844
K00609	67.7599877551844
K00610	67.7599877551844
K00611	31.1439480899444
K00615	41.7657677092369
K00616	33.0674775017092
K00618	1.41956645152778
K00620	1.91956645152778
