KO	GI_5
K00299	3.65199618439366e-05
K00301	0
K00302	0.000169376525273118
K00303	0.000329575535782981
K00304	9.58409099506299e-05
K00305	9.58409099506299e-05
K00311	0.000183146168781054
K00313	8.74442307769039e-08
K00315	6.09788895561993e-05
K00316	0
K00317	3.1303646017716e-05
K00318	1.08958287555349e-05
K00320	0
K00322	9.41089500516199e-07
K00324	0.000337815186136806
K00325	0.00017894847546532
K00329	0.000205795747657157
K00330	0.000155139274778655
K00331	0.000157117967646438
K00332	0.000151144137568292
K00333	0.000155177926648246
K00334	0.000253496459184192
K00335	0.000346732981733725
K00336	0.000267062690585767
K00337	0.000156240004282091
K00338	0.000155139274778655
K00339	0.000155139274778655
K00340	0.000155139274778655
K00341	0.000174552741155219
K00342	0.000163721534844332
K00343	0.000174533849963507
K00344	0.000994315570800866
K00346	2.66584610218753e-05
K00347	2.73862879988127e-05
K00348	2.68885396076764e-05
K00349	2.67701953167569e-05
K00350	3.83533172194827e-05
K00351	2.66584610218753e-05
K00354	0.000212653963708374
K00355	8.22558115792443e-05
K00356	0.000205795747657157
K00360	1.26940330514134e-05
K00362	0.000242249168412383
K00363	5.28551618984259e-05
K00364	5.66583095287813e-06
K00365	0
K00366	1.95462012175387e-05
K00367	6.03567928940462e-05
K00368	4.15079190687043e-06
K00370	5.64748281018311e-05
K00371	3.88171214187131e-05
K00372	5.71619802482268e-05
K00373	3.88080415614168e-05
K00374	3.88080415614168e-05
K00375	0.00122534292711041
K00376	1.9394575184852e-05
K00380	0.000161466574825375
K00381	0.000161427756251446
K00382	0.000985181142617015
K00383	0.000188581455461324
K00384	0.000821395692752734
K00385	1.25065963399155e-05
K00387	0
K00389	8.83970433595297e-06
K00390	0.000154163050932823
K00392	2.63194796828142e-05
K00394	8.64402414605765e-06
K00395	8.64402414605765e-06
K00400	0.000204699122728099
K00404	0.000211842405093459
K00405	0.000141627962944943
K00406	0.000262399689746784
K00407	0.000124497401208527
K00410	0
K00411	0.000140646273496557
K00412	0.000140646273496557
K00413	0.000140646273496557
K00423	0
K00424	0.000119892313962205
K00425	0.00034659544921825
K00426	0.000346601746282154
K00427	0
