KO	oral_19
K00316	5.67184036278752e-07
K00317	1.20364265258142e-06
K00318	8.57774056141003e-06
K00320	0
K00322	1.36574217587337e-05
K00324	0.000132868844414065
K00325	0.000113403527171685
K00329	3.15441561823853e-05
K00330	0.000126282998293568
K00331	0.000157275173698801
K00332	0.000114008100980825
K00333	0.000131600912813714
K00334	0.000128312497985575
K00335	0.000160984699515042
K00336	0.000128225269385
K00337	0.000129796861127863
K00338	0.000127286959103366
K00339	0.000126600070163499
K00340	0.000126282998293568
K00341	0.000126377119619486
K00342	0.000135419262919998
K00343	0.000130822458140892
K00344	0.000455220204590738
K00346	0.000101194941161047
K00347	0.000100977374221492
K00348	0.000102122901593496
K00349	0.00010200165862754
K00350	0.000172286947003447
K00351	0.000101493900927193
K00354	9.05058892858023e-05
K00355	0.00013529588192612
K00356	3.15441561823853e-05
K00360	9.09255159462468e-07
K00362	0.000138077722489962
K00363	2.70235694476422e-05
K00364	0.000301059139654375
K00365	0
K00366	3.16381146425125e-06
K00367	1.82638700049374e-05
K00368	6.74417801433409e-05
K00370	2.42698485979982e-05
K00371	2.26099402343536e-05
K00372	4.8522464947958e-05
K00373	2.24990002951335e-05
K00374	2.24990002951335e-05
K00375	0.000571470851381667
K00376	2.9106146500554e-05
K00380	8.42822519154588e-05
K00381	6.01298582652482e-05
K00382	0.00217713403472804
K00383	0.00124486177790843
K00384	0.000971068705530256
K00385	1.01020375312846e-06
K00387	6.94752914497639e-08
K00389	1.15074060664042e-06
K00390	5.54012767784876e-05
K00392	7.10916572643807e-06
K00394	0
K00395	0
K00400	5.15515067235215e-05
K00404	0.000112319347912099
K00405	0.000112729824335195
K00406	0.000195199372305389
K00407	0.000101302774577673
K00410	0
K00411	0.000116607611195145
K00412	0.000115780167539007
K00413	0.000115746484912948
K00423	0
K00424	2.61165218456315e-05
K00425	0.000196055633709155
K00426	0.000195311018993999
K00427	8.13068244277902e-05
K00428	0.000263404605082717
K00432	0.000481222229775779
K00433	0.000119482460949628
K00435	4.42923886675836e-08
K00436	6.02376485879136e-07
K00437	1.29727045518521e-06
K00441	9.69979223820121e-07
K00442	0
K00443	0
K00446	3.41721641499107e-06
K00448	1.39504445446581e-05
K00449	1.55352616418386e-05
K00450	6.29828096270135e-06
K00451	2.20669727122599e-05
K00452	7.05092588431956e-06
K00453	2.05818907790429e-05
K00455	1.52282406933352e-05
K00457	4.89828501831755e-05
K00459	0.000491634577056753
K00462	7.91367800598431e-08
K00464	2.02817186730873e-06
K00466	2.579141207238e-06
K00467	1.38248946316534e-05
K00469	1.25311397178615e-06
K00471	1.10155701756487e-05
K00472	5.10447544259026e-07
K00476	1.27117583070632e-05
K00477	1.37252758973406e-05
K00479	2.05548724139825e-05
K00480	2.34298757676765e-05
K00481	1.59019533044049e-05
K00483	1.23885828857657e-05
K00484	8.54229330801269e-05
K00486	7.25819920562171e-06
K00491	0
K00493	1.06191132387313e-05
K00494	9.01156587023306e-07
K00496	1.51083416428082e-05
K00499	1.6178177906008e-05
K00500	1.97445111651611e-05
K00505	8.426268811472e-06
K00507	3.26194198399224e-05
K00508	8.08898567710855e-06
K00514	0
K00518	0
K00520	0.000130460711411527
K00523	5.20146720671471e-05
K00525	0.000587120187257137
K00526	0.000536746821726373
K00527	1.49827723702322e-06
K00528	0.000168392159291116
K00529	0.000197991053993777
K00531	0
K00532	1.32752708051122e-06
K00533	7.02665676993949e-06
K00534	7.39401710338468e-07
K00537	0.000838177357632281
K00542	0
K00547	0.000382630198240427
K00548	6.82804593991724e-05
K00549	0.000576210425683328
K00554	0.000509900037854483
K00556	1.12499237040488e-05
K00557	0.000441595972110663
K00558	0.0014513826152805
K00560	0.000440185585217041
K00561	0.000420804564124579
K00563	0.0002872792307471
K00564	0.000538209216432465
K00566	0.000642846287078622
K00567	0.000521469027186169
K00568	0.000113325944009505
K00569	4.24539623383126e-07
K00570	1.10421637105238e-05
K00571	0.000949283884550827
K00573	0.000143550353881621
K00574	0.00011427730215214
K00575	0.000120042190731419
K00577	0
K00584	0
K00588	4.53822856185409e-05
K00590	2.86113730086495e-06
K00594	9.02247006499879e-08
K00595	1.71787650957704e-05
K00596	9.43648067061025e-06
K00598	1.73712513081044e-05
K00600	0.000615336293676682
K00602	0.000537144994525439
K00603	1.81015181422917e-05
K00604	0.000583323194362084
K00605	9.75321742793252e-05
K00606	0.00013335031853785
