function.	skin_1
K01057	36.5
K01058	10.32
K01060	1.75
K01061	5.54
K01066	35.76
K01067	0.25
K01069	5.16
K01070	3.76
K01071	4.34
K01073	0.25
K01075	0.63
K01077	49.6
K01078	0.33
K01079	16.26
K01081	7.3
K01082	10.73
K01083	0.65
K01085	1.26
K01086	0
K01087	34.55
K01089	8.88
K01090	98.45
K01091	101.99
K01092	137.04
K01093	0.13
K01095	12.17
K01096	0.85
K01101	2.77
K01104	280.6
K01113	2.46
K01114	51.25
K01115	0
K01117	0
K01118	50.22
K01119	7.05
K01120	0
K01121	0.75
K01126	333.39
K01128	0
K01129	49.17
K01130	0.51
K01133	0.62
K01135	0
K01137	0
K01138	0.17
K01139	10.02
K01141	1.43
K01142	69.07
K01143	0
K01144	0.83
K01146	0
K01147	4.6
K01150	0.33
K01151	90.47
K01153	197.66
K01154	193.45
K01155	9.18
K01156	6.2
K01158	0.5
K01159	62.01
K01160	0.76
K01163	2
K01166	1.47
K01167	1.58
K01169	0
K01173	9.35
K01174	99.73
K01175	0.85
K01176	19
K01178	0.5
K01179	4.13
K01181	0.38
K01182	0
K01183	41.72
K01184	0
K01185	2.79
K01186	5.12
K01187	81.22
K01190	40.36
K01191	2.07
K01192	1.83
K01193	59.83
K01194	1.09
K01195	0.85
K01197	1.25
K01198	0.67
K01200	15.7
K01201	0.6
K01205	0.2
K01206	4.02
K01207	40.88
K01208	0.14
K01209	2.08
K01210	0
K01212	0.45
K01215	2.42
K01216	0
K01218	0.75
K01219	0
K01220	51.3
K01222	0.65
K01223	68.51
K01224	2.07
K01226	50.65
K01227	1.2
K01230	0
K01232	1.42
K01233	0.37
K01235	0.38
K01236	1.51
K01239	59.47
K01240	0
K01241	2.3
K01243	75.9
K01246	89.52
K01247	2.95
K01250	50.77
K01251	3.48
K01252	0
K01253	0.12
K01255	63.37
K01256	41.62
K01258	117.57
K01259	79.72
K01261	50.3
K01262	114.7
K01263	0
K01264	0
K01265	148.07
K01266	1.95
K01267	47.64
K01269	0.75
K01270	58.99
K01271	51.86
K01273	1.04
K01274	42.42
K01277	0.7
K01278	3.22
K01281	4.54
K01283	0
K01284	35.99
K01286	2.34
K01295	2.08
K01297	5.58
K01299	2.17
K01301	0
K01303	0.75
K01304	64.98
K01305	0.17
K01308	0
K01318	81.8100000000001
K01322	4.12
K01325	0
K01338	30.99
K01342	0
K01347	4.02
K01350	0
K01354	1.55
K01355	0
K01356	95.57
K01358	148.87
K01361	13.32
K01372	75.06
K01387	0.5
K01389	0
K01390	1.25
K01392	0
K01399	0
K01400	0
K01401	41.49
K01406	0
K01407	0.17
