function	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K06283	689.2	1082.68	751.02	637	917.5	476.38	1329.01	2258.13	528.14	822.84	768.38	651.69	560.79	718.58	833.74	1539.2	723.19	560.45	800.18	706.6	1219.09	705.89	1417.96	942.11	999.46	1198.72	473.49	1046.33	1239.49	1291.5	729.47	599.01	540.53	566.36	925.21	976.04	602.64	1214.1	1061.62	495.85	1378.12	1243.13	784.38	1280.09	842.15	916.08	975.94	1221.03	713.65	705.79	1126.45	707.22	1096.52	316.04	777.23	828.57	1158.89	744.06	718.08	577.17	1102.85	469.87	987.04	386.72	944.69	637.09	1019.99	936.54	765.82	708.49	1303	1244.83	546.96	680.92	973.71	727.93	1019.8	750.46	743.27	637.38	525.29	1311.2	496.98	437.17	521.94	978.82	457.25
K06284	691.07	942.26	785.4	563.13	856.65	486.7	1373.45	3665.07	436.07	751	535.85	684.58	473.25	636.18	823.4	1874.9	380.65	555.13	688.83	606.55	934.97	738.33	1603.54	956.23	777.72	1093.63	411.77	757.75	1910.05	1544.15	581.41	982.51	260.43	545.85	1246.5	1391.87	630.9	1385.15	1083.44	501.37	1597.11	1146.37	1034.57	1203.59	659.67	1439.01	1077.97	1284.27	848.32	601.46	1384.57	545.95	1061.36	319.09	565.95	596.12	1201.27	706.68	659.36	408.4	1035.93	436.84	956.64	364.94	981.58	536.78	935.12	1317.99	591.19	589.12	1274.53	1944.07	425.29	519.24	1282.62	822.29	985.55	937.44	719.67	511.77	357.92	939.04	532.39	357.38	328.97	995.04	473.81
K06285	1.24	3.34	3.43	0.43	2.24	5	16.71	123.93	1.47	8.34	0.96	5.8	5.71	0	9.86	0	5.14	5.71	2.86	2.67	1.19	0.14	0.81	2.15	1.62	3.15	8.83	0.14	4.43	6.92	1	8.57	0	1.62	1	0	6.43	0.57	4.23	8.86	1.28	0	0.57	1.86	14.62	1.29	0.33	0.14	4.43	6.01	1.76	1.9	3.13	7.57	0	2	1	0.14	6.29	0.57	5.28	4.28	1.62	2.14	2.24	4.42	7.67	3.67	0	2.77	5.8	27.44	10.71	5.94	7.86	5.62	0.71	3.53	1	12.63	1.57	1	7.85	0.43	6.29	0.71	0.67
K06286	11.13	2.8	125.45	9.52	2	4.8	14	25.48	6.4	54.46	9.8	2.2	76	1.3	8.8	3.47	28.75	97.8	1	3	13.05	6.6	15.45	3	7.4	1.6	11.25	27.8	18.03	7.48	110.8	6.8	3.85	1.4	13.2	0.6	8.8	18	4.45	0.2	8.55	6.6	5.4	0.6	39.15	2.2	10.6	27.78	9.82	3.4	18.4	39.96	84.99	3.55	4.6	105.41	2.85	94.8	9.25	8.2	1.8	2.5	2.4	1	12.8	3.7	4.85	7.8	4.2	6.4	7.8	1.2	4.8	23.4	5.95	0.6	52.35	5.6	6.28	85.3	1	11.45	30.5	13.3	1.4	1.57	5.92
K06287	2580.85	2514.61	2310.91	2553.28	3322.65	2672.56	2297.16	2688.52	2833.93	2660.33	2316.16	2733.36	1902.11	2420.84	2520.14	2482.09	2246.85	2623.49	2631.46	2435.18	2052.27	2370.06	2913.08	2070.32	2754.09	2192.24	2452.1	2186.08	2686.94	2810.64	2238.04	2469.49	2318.76	1715.74	2680.83	2498.58	2396.28	2129.75	2243.58	2213.61	2565.3	2265.51	2368.4	2576.72	2686.53	2611.74	2806.18	2068.11	2104.54	2821.49	2672.22	2254.55	2454.82	2470.41	2321.88	1914.74	2647.87	2441.93	2295.78	2113.15	2438.86	3045.19	2355.12	2664.16	2541.05	2326.7	2334.21	2613.49	2579.3	2558.66	2635.16	2792.09	2145.1	2470.3	2564.87	2059.67	2253.4	2505.77	2256.44	2142.67	2153.9	1871.7	2136.22	1931.8	2033.06	2646.32	1952
K06288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06294	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06295	570.65	734.53	543.8	439.53	716.74	360.45	932.84	1830.68	327.65	553.15	359.8	447.67	270.29	521.2	578.06	1306.37	266.06	437.18	578.13	466.34	623.82	411.6	1064.26	485	625.32	819.19	226.47	592.66	1118.37	1041.74	530.6	518.15	194.45	205.48	737.6	812.29	417.58	923.5	915.85	329.5	1036.56	826.28	601.43	1013.96	444.98	825.85	866.76	981.91	533.08	452.96	937.35	296.63	970.53	214.16	410.15	393.39	708.24	543.59	329.33	341.47	761.21	359.33	757.1	279.74	756.16	508.81	660	764.97	548.32	407.22	954.19	1138.22	318.06	375.49	866.02	623.65	741.44	589.3	589.68	410.25	264.4	670.84	344.82	277.39	211.86	611.97	246.95
K06296	1.67	6.44	4	2	4.66	7.32	0	0.08	8.44	6.79	15.34	26.48	6.66	143.56	0	16.32	2	21.34	12	7.34	1.22	0	132.91	6	4.66	2.99	9.46	20	4	19.74	4.11	0	3.67	15.32	17.32	22	2	6	1.22	0	9.34	48.33	0	33.45	24.66	4.44	90.1	19.56	6.55	4.66	58.11	5.55	0.84	6.23	4.56	14.88	6.66	28	0.33	9.1	4	0	26.66	24	17.78	81.34	19.99	2.22	0	42.11	30	58.34	1.34	0.66	0	0.66	0	0	5.01	12.8	3.56	6	1	20.66	0.11	8.66	0.44
K06297	264.83	194.52	191.48	35.5	313.94	18.31	106.84	34.17	84.02	141.98	41.11	43.02	52.35	168.06	34.74	139.83	18.76	33.32	34.3	72.84	313.33	20.76	306.37	39.42	218.15	37.86	14.89	111.53	67.71	166.65	29.8	4.66	18.62	99.33	165.89	49.62	118.25	67	265.18	22.67	235.42	139.97	51.42	170.34	57.32	88.68	177.56	88.72	33.22	105.92	139.06	22.95	311.91	28.15	59.64	102.88	239	127.74	20	58.31	140.94	18.83	297.94	95.59	515.2	123.82	33.46	15.8	59.5	119.02	403.38	146.79	27.92	108.98	35.5	16.16	159.75	68.48	49.87	27.76	20.07	28.55	5	32.75	23.53	49.85	18.75
K06298	79.84	255.69	146.66	173.69	125.92	81.57	378.39	470.55	199.47	215.22	393.19	190.19	304.29	219.01	127.95	191.05	408.17	143.23	163.1	193.4	551.6	256.84	290.83	261.13	314.56	363.87	260.73	393.07	80.18	217.48	198.05	67.46	331.18	56.86	284.31	165.03	185.15	276.39	118.41	105.44	304.13	318.84	83.01	237.41	377.23	81.53	133.02	271.78	172.84	232.73	211.55	414.68	126.63	104.35	306.97	386.21	106.64	165.93	89.61	231.15	313.24	97.61	182.09	106.51	140.52	163.35	304.77	153.21	214.83	294.92	137.61	103.15	216.52	273.86	105.64	102.28	177.71	132.91	148.56	205.99	246.14	563.45	145.64	147.86	307.35	214.31	120.39
K06299	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06300	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06301	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06302	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06303	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06304	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06305	21.65	6.24	89.08	28.22	25.48	0.28	3.67	43.85	1	12.66	12.11	3.22	106.35	0.22	2.14	8.11	6.44	3.9	1	55.37	28.67	2.33	21.67	2.33	1.54	3.55	3.31	1.14	1.12	13.23	25.22	0	1.1	1.55	2.11	2.65	40.78	13.58	3.67	0.67	6.78	1.99	22.42	4.9	25.4	7.25	3.32	4.23	27.6	5.35	0.97	27.14	1.99	2.45	2.88	39.77	0	2.22	7.77	17.62	13.01	6.91	1.33	4.2	9.4	3.66	3.91	0.22	6.89	0.44	2.22	11.83	9.51	5.64	4.45	2.45	1.33	121.9	8.11	0.72	4.11	1.44	3.02	1.11	1.39	2.78	0.87
K06306	137.28	138.26	206	93.16	65.09	77.96	343.62	173.31	100.03	208.14	149.27	88.75	66.67	259.36	66.1	94.15	69.52	145.42	81.8	166.45	339.35	111.41	396.27	186.19	195.37	123.37	142.43	144.39	150.92	220.78	43.93	98.63	42.56	177.24	144.19	174.65	259.52	108.36	143.1	63.42	190.41	237.51	82.43	321.77	259.27	77.54	194.83	139.61	101.2	132.72	401.6	262.45	368.55	77.53	117.51	156.75	184.48	289.19	36.61	53.81	210.21	49.29	153.33	86.04	105.74	197.65	191.57	285.58	202.32	300.8	175.08	129.21	128.77	92.08	261.18	99.1	271.32	163.07	48.89	138.82	39	63.25	102.33	112.96	97.4	215.49	78.45
K06307	0	0	0	0	0	0	2	1	0.3	0	0	0.9	0	0.8	0	14.9	0	0	0	0.2	0.6	0	6.1	0.9	0.6	0	0	6.8	0.4	0	1.6	0	10.9	0.33	0.4	0	0	3.3	0.1	0.2	0	0.8	0.8	0	14.7	0.8	2.6	6	0.6	0.6	0.7	0.3	0	0.3	0	18	0	0.4	0	5.2	0.8	0.8	0	0	21.8	0	0.1	0	0	0	0	0	0	0	0.6	0	13.4	0	1.1	0	0.1	3.9	0.6	0	0	0	1.9
K06308	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06310	170.9	80.68	17.94	39.78	259.87	25.82	43.55	253.94	150.15	60.77	64.75	17.96	53.75	44.17	25.88	44.53	12.14	17.34	16.69	48.28	88.72	27.79	55.13	22.04	67.24	29.54	77.93	122.09	43.17	33.13	37.25	22.76	161.33	23.27	52.51	27.78	24.35	75.34	72.43	17.46	61.42	93.43	19.22	21.51	79.32	11.7	29.98	28.97	47.29	35	40.66	68.67	82.69	20.63	20.33	131.03	140.3	37.79	24.21	62.71	166.71	19.58	105.71	13.69	29.43	56.39	30.73	11.85	54.5	27.15	182.94	41.12	23.46	23.73	48.99	10.4	53.04	33.17	17.72	37.81	8.05	49.13	18.48	18.84	58.02	47.65	27.5
K06311	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06313	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06314	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06315	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06317	719.59	447.21	690.86	186.96	495.71	515.85	601.03	1824.07	353.34	460.4	524.58	563.54	214.01	417.03	584.79	796.56	207.99	358.53	329.94	365.4	535.27	351.73	991.93	406.61	561.32	417.23	311.08	206.07	1207.09	886.77	329.09	525.09	135.54	229.75	675.2	861.11	444.6	575.74	491.23	350.02	873.93	420.87	495.94	600.78	482.62	837.11	718.4	406.89	413.97	349.12	850.45	247.01	803.67	985.83	454.35	341.04	860.95	481.24	442.5	194.22	488.66	79.97	474.43	174.88	699.14	201.47	374.65	835.09	327.15	579.96	857.75	975.05	207.83	414.97	761.62	263.77	622.09	494.49	209.42	407.51	210.16	282.18	218.95	149.46	299.25	369.66	295.93
K06318	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06320	25.66	167.2	137.86	54.8	50.54	74.4	18.34	32.6	276.24	95.38	83.4	113.06	23.9	210.4	33.34	129.08	928.42	107.84	22.4	224.84	77.2	103.32	29.93	78	102.06	33.2	81.18	415.78	27.38	77.94	109.86	0	357.51	48.8	24.28	37.46	51.46	232.12	52.86	112.2	114.45	190.14	4.45	55.84	76.4	51.56	40.1	149.87	12	129.72	144	250.05	185.16	211.73	73.34	272.2	22	154.64	3.86	197.45	172.95	156.26	64.2	9.6	7.5	115.14	117.2	82.32	116.54	117.19	121.06	106.46	243	30.2	28.4	46.52	116.09	4.05	36.46	60.98	28.2	633.08	166.6	89.14	158.58	138.34	124.45
K06324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06327	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06328	21.21	6.24	89.08	28.22	25.48	0.28	3.67	43.85	1	12.66	12.11	3.22	106.35	0.22	1.43	8.11	6.44	3.39	1	55.37	28.67	2.33	20.59	2.33	1.32	3.55	3.31	1.14	1.12	13.23	25.22	0	1.1	1.33	2.11	1.94	40.78	13.58	3.67	0.67	6.78	1.66	12.71	4.46	25.4	7.25	3.32	4.23	17.89	5.35	0.97	25.85	1.99	2.45	2.88	39.77	0	2.22	7.77	17.62	13.01	6.91	1.33	4.2	9.4	3.66	3.91	0.22	6.89	0.44	2.22	11.83	9.51	5.5	4.45	2.45	1.33	121.9	8.11	0.43	4.11	1.44	2.73	1.11	0.82	2.78	0.87
K06330	0	0	0	0	0	0	0.4	0	0	0	3.25	0	9.55	0.5	0	0	0	1.33	0.75	0.33	1.67	0	0.83	0	0	0	0	0	0.75	0	0	1	0	0	5.57	0.5	0	0	0.25	0	0.25	0.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0.75	0.33	0	0	0	1.75	0	0	0	0	0	12.75	0	0	0.4	0	0	0	0	0	0	2	0	0
K06331	1.07	4.47	0.6	0	4.47	2.4	0	0.8	1.4	0.67	0	2.6	0	26.2	4.4	0	7.4	0	0	11.07	0.33	3.2	4.47	0	2.93	1.4	1	30	0	2.07	9.4	0	6.4	1.13	1.4	1.8	2.8	24	1.93	11.8	7.8	7.6	0	4.8	0.67	4.6	4.6	0	0	35.8	1	13.93	0.2	0.2	3.6	5.2	0	11	1	25.8	26.6	0	14.73	0	0	5.4	8.4	3.6	8	0.67	7.27	23.66	76	3.33	0	0.33	1.2	0	2.6	4.8	1.6	4.4	10.8	0	9	3.8	0
K06332	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06333	680.26	1056.33	697.58	617.71	881.09	441.36	1109.86	734.97	514.27	787.78	706.69	473.25	661.68	648.7	773.2	1441.06	423.5	531.69	797.06	683.27	1111.18	644.19	1090.92	872.96	946.23	1076.21	454.09	1002.71	945.78	994.66	729.9	232.06	518.97	544.29	557.74	662.92	598.84	859.63	997.52	444.14	945.52	1168.45	720.69	1245.23	843.33	437.01	789.64	1065.55	567.31	705.3	1047.25	680.88	1078.33	318.27	710.42	794.07	1034.35	706.78	725.73	554.49	1129.23	470.41	916.97	354.07	870.41	635.36	999.04	489.83	765.18	659.24	1214.28	1032.6	543.49	698.77	645.02	652.57	971.05	745.5	704.29	642.89	481.88	1056.82	486.16	381.31	539.03	916.21	400.32
K06334	711.13	1087.9	826.55	634.23	951.11	480.4	1129.93	856.63	514.72	821.87	765.63	489.19	707.51	695.17	818.1	1456.85	725.04	548.74	802.25	769	1127.27	678.43	1109.32	916.67	960.34	1100.19	493.62	1020.57	968.8	1019.92	743.42	256.6	534.87	563.28	573.43	678.99	603.64	899.64	1005.21	537.83	976.52	1206.94	800.93	1258.87	854.53	446.35	806.55	1074.5	594.1	745.59	1062.24	750.77	1093.12	320.35	732.99	859.69	1128.4	724.31	760.11	589.74	1192.64	474.11	937.77	368.63	880.58	640.1	1027.05	517.7	796.73	707.36	1429.4	1051.62	566.43	771.49	661.02	674.22	986.65	801.82	744.66	658.73	496.76	1249.24	509.96	401.56	635.99	1070.72	403.38
K06335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06346	1010.28	1182.76	1120.55	718.2	1085.71	724.88	1379.8	2590.93	677.69	985.82	1035.05	878.4	973.91	797.04	1036.31	1669.17	771.39	769.77	1145.74	888.74	1312.33	786.52	1573.54	1001.78	1110.26	1234.82	617.44	1186.12	1428.44	1479.99	1119.79	617.33	558.73	583.53	1169.71	1122.61	721.26	1286.84	1165.7	725.54	1452.4	1301.72	918.81	1347.11	960.45	1035.49	1064.6	1370.42	764.95	867.85	1282.18	1167.19	1338.42	1275.36	1009.61	1041.93	1348.05	914.74	962.76	617.24	1242.26	562.71	1051.55	403.28	1135.62	710.47	1062.69	1212.36	789.33	964.14	1480.03	1321.34	658.47	985.08	1073.4	748.84	1146.12	1127.62	864.44	1060	632.81	1340.1	587.54	464.52	660.13	1071.62	525.95
K06347	0	0	0	0	0	0	0	3.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K06348	258.8	0	0.5	0	0	216.2	10.2	0	5.3	0	174.2	148.4	0	58.4	130.6	27.6	0	0	61	2.2	0	0	44.5	0	3.9	10.6	79.8	1.8	110.4	51	228.4	0	8.2	0	0	106.2	11	0	43.2	81.4	5.6	0.5	31.4	0.5	0.2	83.4	10.4	0	0	1.8	1.6	6.8	12	836.8	148.2	0	124.4	12	0	0	109.4	0	3	0	0	0	0	5.2	0	193.1	51.8	0	0	3	1.4	0	1.2	19.6	25.2	172.8	92	0	0	0	0	0	0
K06349	0	0	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
K06350	0	0	14.4	2	11.67	0	0	1.48	0	0	0	0	0	0	0	0	0	0	0	15.9	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	12	0	0	23.8	0	0	0.42	0	0	0	0	0	21.2	4	0	0	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0.5	0	0	0	0	3.4	0	1.6
K06351	233.8	0	14.4	2	11.67	216.2	10.2	1.48	0.8	0	174.2	148.4	0	58.4	130.6	27.6	0	0	61	18.1	0	0	0	0	2.4	10.6	80.13	1.8	110.4	51	228.4	0	8.2	0	0	106.2	11	0	37.2	205.4	5.6	0	31.4	0	0.2	83.4	22.4	0	0	25.6	1.6	6.8	0.42	836.8	147.2	0	124.4	0	21.2	4	107.4	0	0	0	0	0	0	5.2	0	184.6	51.8	3.4	0	0	1.4	0	1.2	19.6	24.2	172.8	92	0	0	0.33	3.6	0	1.6
