KO	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-221	FR-223	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-430	FR-450	FR-451	FR-459	FR-460	FR-503	FR-505	FR-506	FR-542	FR-551	FR-552	FR-558	FR-568	FR-617	FR-628	FR-654	FR-667	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-812	FR-817	FR-824	FR-825	FR-827	FR-828	FR-830
K00012	0.001258283	0.00126849	0.001206215	0.001466007	0.001070823	0.000722522	0.001622497	0.001259155	0.001222229	0.000999008	0.001180689	0.00113404	0.000788856	0.001660629	0.001341319	7.46E-05	0.001122832	0.001064885	0.001400214	0.001154812	0.000807466	0.00122326	0.001066348	0.000894079	0.001518986	0.001124836	0.001186378	0.001370616	0.001140677	0.001191923	0.001389238	0.000962169	0.001289359	0.001615769	0.001064235	0.000937856	0.00112633	0.001029572	0.001473372	0.001165196	0.001721792	0.000766736	0.001159415	0.001153258	0.001226289	0.001534196	0.000718114	0.000834364	0.001547843	0.001419078	0.000781436	0.001308313	0.001221824	0.001214815	0.001598588	0.00167015	0.001441412	0.000858052	0.000533181	0.000695881	0.00064207	0.001537395	0.001144714	0.001198191	0.000802718	0.001227127	0.001023516	0.000859344	0.001472244	0.001567194	0.001482338	0.001316248	0.000910894	0.000930992	0.001329853	0.000438951	0.00091569	0.00156699	0.001150395	0.001531526	0.001024841	0.001129753	0.001663421	0.001415759	0.001178519	0.000836582	0.001129422	0.001351228	0.001152153	0.001283183	0.001219693
K00013	0.001321846	0.001209137	0.001291694	0.001437266	0.001138676	0.000898943	0.000933659	0.001429085	0.001331805	0.001094231	0.001290694	0.00114909	0.001048945	0.000925994	0.000976167	0.000311981	0.001229976	0.001285318	0.001403762	0.001235902	0.001009347	0.001248533	0.001173335	0.001159865	0.001395662	0.001464638	0.001412407	0.000990955	0.001098914	0.001380091	0.001430026	0.001148855	0.001307714	0.000555161	0.001310631	0.001183355	0.001232085	0.001063806	0.001564692	0.001089153	0.000714109	0.000788656	0.001140716	0.001472207	0.00135203	0.001001571	0.0013378	0.001050885	0.00131801	0.001300869	0.001251949	0.001353638	0.00132192	0.001209783	0.001001363	0.001044953	0.000893212	0.001129024	0.001006497	0.00104828	0.001008514	0.001429065	0.001351689	0.00087374	0.000962244	0.001248226	0.001099007	0.001085518	0.001657854	0.001004643	0.001459442	0.001382471	0.001178987	0.001112392	0.001117188	0.000827366	0.000999732	0.001407589	0.001294261	0.00135994	0.001280622	0.001263229	0.000757331	0.001463692	0.001070923	0.001244486	0.001140789	0.001254606	0.001185558	0.001352561	0.001249063
K00014	0.001654298	0.001724093	0.001580097	0.001787486	0.001505319	0.001842717	0.001289603	0.001678181	0.001655086	0.001498668	0.001554472	0.001339138	0.001701555	0.001385789	0.00127953	0.002347398	0.00201591	0.001462777	0.001573366	0.001479676	0.001855425	0.00139965	0.001633648	0.001719783	0.001562388	0.001496591	0.001651082	0.001759376	0.001962734	0.001797274	0.001662393	0.001873637	0.001685414	0.001229428	0.001580603	0.001662514	0.0014618	0.00136006	0.00176807	0.001581583	0.000907389	0.001629246	0.00188165	0.001887106	0.001829266	0.001477331	0.001664143	0.001711556	0.001794816	0.001734719	0.001783757	0.001852361	0.001729317	0.001581837	0.001235612	0.001535044	0.001405818	0.001889691	0.001798857	0.001927744	0.001805998	0.001819814	0.001673814	0.001483543	0.001875568	0.001283418	0.001894133	0.001908319	0.001981084	0.001143867	0.00184788	0.001785694	0.001854272	0.001725562	0.001779665	0.0018546	0.001577655	0.001746551	0.001687541	0.001723711	0.001512832	0.001794803	0.001137981	0.001632929	0.001406496	0.001604362	0.001643658	0.001403901	0.001473546	0.001607963	0.001341801
K00015	3.25E-05	9.66E-05	5.74E-05	6.23E-05	0.000130229	3.43E-05	7.31E-05	8.48E-05	6.77E-05	0.000155658	0.000116933	0.000180657	7.93E-05	2.49E-05	3.45E-05	1.34E-05	1.54E-05	0.000124034	5.30E-05	0.000123786	2.43E-05	0.000140812	6.50E-05	3.94E-05	0.000124326	0.000347149	9.93E-05	0.000107405	1.93E-05	2.82E-05	5.60E-05	1.89E-05	8.48E-05	3.58E-06	0.000112524	0.000105955	0.000130892	0.000149563	6.30E-05	0.000109155	2.47E-05	6.76E-05	1.28E-05	2.15E-05	1.37E-05	1.92E-05	2.92E-05	2.82E-05	5.75E-05	3.89E-05	2.69E-05	7.99E-05	7.83E-05	4.80E-05	5.49E-05	6.34E-05	4.41E-05	2.26E-06	1.78E-05	1.70E-05	2.11E-05	4.11E-06	4.21E-05	6.01E-05	2.98E-05	0.000199615	1.07E-05	4.08E-05	1.78E-05	4.66E-05	3.23E-05	6.80E-06	7.97E-06	6.62E-05	4.33E-05	2.03E-05	3.88E-05	8.08E-05	8.46E-05	9.69E-05	9.17E-05	5.17E-05	6.78E-05	0.000111473	0.000137195	9.71E-05	6.34E-05	0.000146746	0.000149826	9.92E-05	0.000198472
K00016	0.000531576	0.000553691	0.00061523	0.000331475	0.00059581	0.001169733	0.000527011	0.000540287	0.000558078	0.000718597	0.000512358	0.00044514	0.001035338	0.000508591	0.000675426	0.002305583	0.000968993	0.000525135	0.000520716	0.000439962	0.000851114	0.000372956	0.000662936	0.000979397	0.000173516	0.000133115	0.000574994	0.000503325	0.000975556	0.000708172	0.000498908	0.001032789	0.000494364	0.000690588	0.000672558	0.000784696	0.000618817	0.000573504	0.000365742	0.000627682	0.000558985	0.001255327	0.000755226	0.000698425	0.00037107	0.000543666	0.001309478	0.00095771	0.000302432	0.000490023	0.001124186	0.000616522	0.000589205	0.000659975	0.000500658	0.000226204	0.00054709	0.001044442	0.001449772	0.00128664	0.001229199	0.00041135	0.000694474	0.000908443	0.000943942	0.000263537	0.000968091	0.001077489	0.000531897	0.000298309	0.000410065	0.000469366	0.001065453	0.000881793	0.000584711	0.001638459	0.001253111	0.000249783	0.00059351	0.000192286	0.000593121	0.000706267	0.000459292	0.000318162	0.000529073	0.000958265	0.000643025	0.000211793	0.00049189	0.000435506	0.000383659
K00018	3.25E-05	9.66E-05	5.74E-05	6.23E-05	0.000130229	3.43E-05	7.31E-05	8.48E-05	6.77E-05	0.000155658	0.000116933	0.000180657	7.93E-05	2.49E-05	3.45E-05	1.34E-05	1.54E-05	0.000124034	5.30E-05	0.000123786	2.43E-05	0.000140812	6.50E-05	3.94E-05	0.000124326	0.000347149	9.93E-05	0.000107405	1.93E-05	2.82E-05	5.60E-05	1.89E-05	8.48E-05	3.58E-06	0.000112524	0.000105955	0.000130892	0.000149563	6.30E-05	0.000109155	2.47E-05	6.76E-05	1.28E-05	2.15E-05	1.37E-05	1.92E-05	2.92E-05	2.82E-05	5.75E-05	3.89E-05	2.69E-05	7.99E-05	7.83E-05	4.80E-05	5.49E-05	6.34E-05	4.41E-05	2.26E-06	1.78E-05	1.70E-05	2.11E-05	4.11E-06	4.21E-05	6.01E-05	2.98E-05	0.000199615	1.07E-05	4.08E-05	1.78E-05	4.66E-05	3.23E-05	6.80E-06	7.97E-06	6.62E-05	4.33E-05	2.03E-05	3.88E-05	8.08E-05	8.46E-05	9.69E-05	9.17E-05	5.17E-05	6.78E-05	0.000111473	0.000137195	9.71E-05	6.34E-05	0.000146746	0.000149826	9.92E-05	0.000198472
K00019	3.35E-05	7.48E-05	5.35E-05	4.43E-05	0.000113061	2.61E-05	6.15E-05	7.85E-05	6.61E-05	0.000155812	9.44E-05	0.000180569	9.23E-05	1.81E-05	3.76E-05	1.87E-05	6.21E-05	0.000127555	5.06E-05	0.000123554	3.40E-05	0.000143918	5.82E-05	3.92E-05	0.000116567	0.000342028	8.39E-05	9.66E-05	7.55E-06	3.15E-05	4.60E-05	3.36E-05	7.66E-05	6.03E-06	0.000126278	0.000110511	0.000131083	0.000153539	5.91E-05	9.99E-05	2.80E-05	6.70E-05	9.58E-06	3.16E-05	1.45E-05	1.83E-05	3.53E-05	3.78E-05	3.45E-05	1.08E-05	2.08E-05	4.64E-05	3.93E-05	4.09E-05	3.68E-05	2.91E-05	4.96E-05	9.39E-06	3.47E-05	4.54E-05	2.38E-05	1.07E-05	4.38E-05	4.85E-05	4.45E-05	0.000200855	9.42E-06	2.18E-05	3.23E-06	3.85E-05	3.58E-05	2.76E-06	9.64E-06	7.06E-05	4.48E-05	3.51E-05	3.77E-05	2.81E-05	6.72E-05	5.49E-05	7.76E-05	3.54E-05	5.77E-05	9.33E-05	0.000135194	7.73E-05	3.94E-05	0.000148848	0.000143043	8.83E-05	0.000193197
K00020	0.000837773	0.000498464	0.000636387	0.000712253	0.000708817	0.000382015	0.000455641	0.000795724	0.000949708	0.001040503	0.000800083	0.001135341	0.000841967	0.00058346	0.000484039	0.000273617	0.001070879	0.001036405	0.000506751	0.001027164	0.000660484	0.000993494	0.000813859	0.000629871	0.001268652	0.000943555	0.000627528	0.000671873	0.000328593	0.000863531	0.000815119	0.000877275	0.000654781	0.000314652	0.000986882	0.000788724	0.001123394	0.000840211	0.000619592	0.000647819	0.00033427	0.00048084	0.00040043	0.000984693	0.001058049	0.000605406	0.000913015	0.00066313	0.000682709	0.000821676	0.000358515	0.000332856	0.000288334	0.000517808	0.000316822	0.000688164	0.000522423	0.000889646	0.000533379	0.000754999	0.000758567	0.000515492	0.001053357	0.000377336	0.000735865	0.001236561	0.000390251	0.00052305	0.000189378	0.000747535	0.000816683	0.001135091	0.00087452	0.000883111	0.000744058	0.000680102	0.000867215	0.000238801	0.001158021	0.000784708	0.000875976	0.000470643	0.000593371	0.001195331	0.000881729	0.000680132	0.000239562	0.000995213	0.000989357	0.000683879	0.001109913
K00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00022	0.000837773	0.000498464	0.000636387	0.000712253	0.000708817	0.000382015	0.000455641	0.000795724	0.000949708	0.001040503	0.000800025	0.001135341	0.000841967	0.00058346	0.000484039	0.000273617	0.001070879	0.001036405	0.000506751	0.001027164	0.000660484	0.000993494	0.000813859	0.000629871	0.001268652	0.000943555	0.000627528	0.000671873	0.000328593	0.000863531	0.000815119	0.000877275	0.000654781	0.000314652	0.000986882	0.000788724	0.001123394	0.000840167	0.000619592	0.000647819	0.00033427	0.00048084	0.00040043	0.000984693	0.001058049	0.000605406	0.000913015	0.00066313	0.000682709	0.000821676	0.000358515	0.000332856	0.000288334	0.000517808	0.000316822	0.000688092	0.000522346	0.000889646	0.000533379	0.000754999	0.000758567	0.000515492	0.001053357	0.000377336	0.000735865	0.001236561	0.000390251	0.00052305	0.000189378	0.000747535	0.000816683	0.001135091	0.00087452	0.000883111	0.000744058	0.000680102	0.000867215	0.000238801	0.001158021	0.000784708	0.000875901	0.000470643	0.000593371	0.001195331	0.000881686	0.000680132	0.000239562	0.000995213	0.000989357	0.000683879	0.001109913
K00024	0.000904387	0.001234085	0.000966115	0.001154474	0.000955496	0.000694257	0.001566755	0.000945045	0.000672458	0.000919293	0.001046116	0.001087556	0.000577118	0.001200576	0.001017051	5.44E-05	0.000148199	0.000877781	0.001366994	0.000983755	0.000424033	0.001078554	0.000668477	0.000574998	0.001026594	0.001008765	0.001164888	0.001189727	0.001004978	0.000656719	0.000980421	0.000202955	0.001114075	0.001279688	0.000722392	0.000678543	0.000765553	0.000885984	0.0011503	0.000935079	0.001602141	0.000756641	0.000884095	0.000458331	0.000274375	0.00110536	0.000427556	0.000431893	0.001104214	0.000621343	0.000474078	0.00124097	0.001201301	0.001003375	0.001550543	0.001384101	0.001224694	0.000145968	0.000357559	0.000257258	0.000304787	0.000989111	0.000399796	0.00114664	0.000282266	0.00122551	0.000738221	0.000467805	0.001367199	0.001506989	0.000832362	0.000277523	0.000236029	0.000513942	0.000715863	0.000329511	0.000267662	0.001524554	0.000500629	0.001053472	0.001049455	0.000753635	0.001387461	0.000674817	0.001073525	0.000742738	0.001106865	0.001336069	0.00111591	0.001163457	0.001158278
K00025	0.000904387	0.001234085	0.000966115	0.001154474	0.000955496	0.000694257	0.001566755	0.000945045	0.000672458	0.000919293	0.001046116	0.001087556	0.000577118	0.001200576	0.001017051	5.44E-05	0.000148199	0.000877781	0.001366994	0.000983755	0.000424033	0.001078554	0.000668477	0.000574998	0.001026594	0.001008765	0.001164888	0.001189727	0.001004978	0.000656719	0.000980421	0.000202955	0.001114075	0.001279688	0.000722392	0.000678543	0.000765553	0.000885984	0.0011503	0.000935079	0.001602141	0.000756641	0.000884095	0.000458331	0.000274375	0.00110536	0.000427556	0.000431893	0.001104214	0.000621343	0.000474078	0.00124097	0.001201301	0.001003375	0.001550543	0.001384101	0.001224694	0.000145968	0.000357559	0.000257258	0.000304787	0.000989111	0.000399796	0.00114664	0.000282266	0.00122551	0.000738221	0.000467805	0.001367199	0.001506989	0.000832362	0.000277523	0.000236029	0.000513942	0.000715863	0.000329511	0.000267662	0.001524554	0.000500629	0.001053472	0.001049455	0.000753635	0.001387461	0.000674817	0.001073525	0.000742738	0.001106865	0.001336069	0.00111591	0.001163457	0.001158278
K00026	0.000904387	0.001234085	0.000966115	0.001154474	0.000955496	0.000694257	0.001566755	0.000945045	0.000672458	0.000919293	0.001046116	0.001087556	0.000577118	0.001200576	0.001017051	5.44E-05	0.000148199	0.000877781	0.001366994	0.000983755	0.000424033	0.001078554	0.000668477	0.000574998	0.001026594	0.001008765	0.001164888	0.001189727	0.001004978	0.000656719	0.000980421	0.000202955	0.001114075	0.001279688	0.000722392	0.000678543	0.000765553	0.000885984	0.0011503	0.000935079	0.001602141	0.000756641	0.000884095	0.000458331	0.000274375	0.00110536	0.000427556	0.000431893	0.001104214	0.000621343	0.000474078	0.00124097	0.001201301	0.001003375	0.001550543	0.001384101	0.001224694	0.000145968	0.000357559	0.000257258	0.000304787	0.000989111	0.000399796	0.00114664	0.000282266	0.00122551	0.000738221	0.000467805	0.001367199	0.001506989	0.000832362	0.000277523	0.000236029	0.000513942	0.000715863	0.000329511	0.000267662	0.001524554	0.000500629	0.001053472	0.001049455	0.000753635	0.001387461	0.000674817	0.001073525	0.000742738	0.001106865	0.001336069	0.00111591	0.001163457	0.001158278
