	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00021	1269	0	422	57	0	96	23	158	4477	0	43	0	0	0	0	0	2318	0	10	79	0	37	250	5	53257	16771	8	2445.5	3608	19987	14290.5	7.5	209	809	2214	2546	3	219	0	41	0	0	0	2207	1098.5	2425	0	2	524	31	3005.5	2	0	9	0.5	565	767	0	0	939	0	7884	3600	0	216	5.5	0	0	0	130	2036	23	0	3	1239	39	938	0	5540	2826	0	483	0	18574	697	0	0	3102.5	27	48	110
K00023	7222.67	4787.67	4610.33	3322.33	8721.67	2545.33	8624	4844	10968.67	10452	5717	23120	4671	1095	2136.67	186	572	11675	5077	10366	4097.67	14184	5035	16432	86546	13296.66	114454	45230.67	4201.67	16751	33168	2428	36003	378	24954	17054	35013.33	57231	12093.66	44046	4671.33	13028	1627	2919	3382	4498.67	2160	3253	3004	1984	2594	4264	9020.33	8482.33	6676	11074.67	6411	557	3028	4389	3679	1168.67	5807	7550	3032.67	134673	1492	2091	3946	10852	5160.67	2521	1415	7450	3878	9750	5161	8992	8341	8352.33	18084	2244.67	10350	29213.33	43139.67	21011	8861	64968	59297.67	29730	74516.33
K00024	35174.21	27854.24	17712.28	42474.73	25757.63	20717.11	72620.8	31769.59	39381.86	10746.33	18844.01	23461.29	5809.1	30355.74	18940.78	847.91	1844.92	20950.65	48543.67	21685.6	31103.01	20819.14	17616.95	132537.15	167285.85	326418.55	369816.69	173925.08	124335.09	101403.99	137294.57	11007.43	227846.16	33968.88	33988.83	42555.81	37014.25	121363.52	153033.36	153436.3	104621.69	70006.75	87212.83	26239.47	42403.08	71999.99	22750.1	29118.78	48113.53	39048.2	39770.41	47200.03	121367.39	69590.06	65838.47	77209.94	37733.11	7026.03	6156.07	5981.53	4890.05	60697	16662.43	59407.35	12095.16	135199.55	58097	30270.06	191958	29414.75	69618.81	29891.42	14506.92	12356.33	34635.06	20118.74	9456.55	155358.71	31327.94	77711.41	82107.65	29703.19	54843.41	72073.43	86960.55	57005.08	62980.47	109648.76	120953.67	205058.41	95085.83
K00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00027	98264.04	58419.42	52072.22	41118.33	42197.92	54761.9	59674.53	52742.08	142493.24	45071.2	52320.08	47544.32	57065.85	37976.25	40767.19	26769.3	37253.5	43927.25	15027.62	28172.5	144432.92	36159.5	59551.47	340601.66	201399.72	320075.21	150566.68	264061.27	327359.32	356935.08	219109.75	156250	210375.21	104909.17	167052.23	149925.42	126620.37	232025.21	72084.76	233936.86	80022.16	143891.06	122670.35	155580.8	155271.59	136331.8	63194.03	112672.33	65160.2	98275.25	158358.12	57222.72	59679.45	109934.38	80766.5	65051.24	106671.08	202003.72	173362.55	143952.55	126483.66	97643.4	152252.4	92961.15	149511.99	49642.8	115375.63	162400	67841	67735.62	118316.55	237317.25	174889.68	117904.6	117426.6	308382.3	149513.65	49132.25	161014.11	80692.41	73425.02	58878.37	89608.05	163001.6	136877.01	97146	127190.7	70063.28	113620.11	111468.76	48621.2
K00029	30837.56	22555.62	17036.95	28848.85	27723.63	14467.14	58650.41	24629.59	39402.38	20971.33	20308.79	46321.62	9949.35	27772.61	16206.45	1050.91	1836.17	29034.49	31243.67	27304.94	24374.26	33536.69	18295.35	99779.15	223005.62	74294.5	268477.81	175977.21	82600.21	82870.49	131478.94	9710.3	179165.53	30610.63	55544.83	49512.69	71177	151887.85	96184.53	147379.15	107499.94	54983.25	54604.08	20540.72	33192.83	64429.47	23859.7	20963.03	32452.4	28890.05	25443.54	37034.95	78986.07	57203.31	56692.22	61840.12	34850.24	6223.43	8396.45	10149.43	8206.8	39218	16650.93	45292.1	11712.04	269851.05	35277	19879.78	98505.25	33930.62	49608.56	23793.55	9996.17	17419.08	27692.19	24906.07	12597.55	93449.76	36201.94	58301.18	69091.1	23253.97	59107.03	81330.49	121794.93	60045.58	66508.34	157725.51	151926.67	151841.66	148560.58
K00030	4021.15	2243.95	5100.7	3587.5	1058.75	2119	1440.75	3293.5	18879.75	4650.2	1903.15	2258.3	895.75	1832.5	6052.5	1014.25	1245.75	4921.25	5865.75	486.75	3859.75	1858	1178.05	5783.75	13056.9	4588.75	4983	6691	9067.75	14062.75	11901	7833.5	13009	10940.45	5075.5	11670.25	9353.75	10446.75	2551.9	19052	4876.75	4712.75	4237.75	12507	8148.85	5077.75	5435.25	5433	1538.7	4569.75	6905.45	1050.75	3085.5	4372	3132.25	4856	3965.25	7659.25	8780.15	4328.05	7516.25	10038.35	11457.5	3173.5	1807	1434.75	1270.25	4587	5821	3598	8214.1	12972	7803	4615.45	4382.25	39349.95	5162.5	7060	19081.85	4399.5	6289.5	1321.2	8884	7266.5	5977.5	12932.25	7262.1	6044.5	7690.5	5843.25	2784.17
K00031	102657.4	69421.08	50884.91	55039.26	53505.97	61063.54	95354.11	62354.25	137606.68	55247.83	58796.72	67176.89	60424.95	38855.86	40994.9	29906.11	37954.25	47428.53	34876.7	40467.61	147809.68	50474.02	63898.6	403423.1	291999.87	352693.41	321554.82	330562.76	349800.35	358968.82	217206.86	165185.55	291103.5	91614.43	188441.38	160350.86	151876.2	269795.77	144432.89	288680.82	75739.01	178111.14	163309.06	138740.77	146076.16	146137.09	58469.9	117353.95	80178.9	104722.3	146743.16	53059.75	95581.18	138486.07	113927.47	100211.02	117400.15	196180.65	166901.39	142327.76	118622.3	102289.27	133915.63	122995.7	152747.24	183401.35	138711.22	164618.45	156708.25	80813.82	136013.6	214453.05	172484	123922.82	118284.54	283565.77	154849.28	114207.51	132768.86	101179.51	102564.87	59536.31	98701.83	186757.43	185366.63	106187.58	120219.19	149040.63	197147.11	205681.11	121470.36
K00032	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
K00033	15343.23	10001.12	6062.62	19226.55	7570.83	11217.47	25542.64	15145.09	18497.41	16706.5	5444.89	3593.59	3008.75	7746.88	12910.25	8624.58	5361.17	6078.33	22995.34	7718.74	16929.25	4066.62	5244.85	70259.08	41855.22	547643.5	235486.21	46629.28	59775.21	87113.82	56733.71	29955.13	92953.96	35462.83	5679.26	14713.12	6707.67	64433.58	73591.33	65170.98	3884.33	31091.08	60599.91	14316.75	29229.66	25868.77	21874.9	15765.5	21583.13	16242.65	28467.54	17229.58	55159.74	29633.67	21615.92	29095.99	12797.37	9406.43	6701.29	7086.77	6952.16	27915.33	13511.83	25076.83	8855.37	4999.75	28862.16	19733.11	100440.75	10337.55	26920.66	15959.12	12431.5	10707.42	16951.96	11536.41	13058.42	73841.83	24310.84	37438.15	34886.47	14069.97	11973.63	26728.43	19683.79	31907.75	78058.71	16617.08	44388.51	88226.66	39781.08
K00034	6284.5	3342.5	3495	2488	5883	2271	6893.67	3441	7759	7382.5	4274	16471	3541	735	1436	202	430.5	8356	3954	7403	2551	10292	3439	11576	61308.5	9389.5	163466	28896	3862	8578	26798	1887	24672	339	17493.38	10893.5	24988	36778.67	8345	27021	2344	9887	2363.5	1911	1835	3504	1636	2410	2269	1553	2036	3500	6709	5697	5050	9468	4640	472	2823	3800	3216	722	4128.5	6207	2313	96359	1305	1313.5	7970	9648	2640	1780	1755.5	5474	1984	13001.12	3691	9410	6113.25	6211	11859	1147	7657	19716	28504	20042	7416	47123.5	43620.5	19761	65423
K00035	6118	3243	3469	2505	5847	1180	5391	3445	7744	7363	4264	16493	3486	735	1276	108	429	8361	3748	7397	2481	10291	3444	11519	61172	8790	36476	28476	1781	8545	23012	1644	23249	189	17465	10801	24899	36440	7293	26616	2338	9661	782	1911	1442	3431	1667	2408	1999	809	1506	2579	4972	4530	4772	9440	4674	467	2604	3809	3174	557	4074	5145	2137	96764	1067	1288	907	9648	2587	1504	1233	5332	1960	8453	3651	3674	5980	5891	11694	1030	7369	18605	28476	13525	5897	46963	42328	19641	44719
K00036	20947.56	13722.12	10186.85	21811.55	16034.83	10953.47	32134.31	19933.26	25733.58	18324.5	10893.89	25728.59	5784.5	8679.88	7593.25	4997.58	3944.17	17664.33	26459.67	17538.74	18860.92	16358.87	10238.85	79279.75	124054.22	285290.5	280017.21	88785.2	59554.96	86088.49	81047.04	19156.38	126569.96	18893.83	29407.88	30248.62	38864.17	110598.5	82779.33	94333.65	7648.33	43492.08	56412.58	16498.75	31340.66	29467.77	23557.4	17262.83	23696.13	17146.65	29624.54	19893.58	61013.74	33612.67	26263.92	38786.99	16196.37	5849.93	6408.37	8067.77	7920.83	25429.08	12575.5	30581.83	9573.37	136407.75	28721.83	18981.11	101385.75	16339.3	30645.66	14836.87	10258.17	15200.5	19721.21	20646.29	15846.25	76821.83	29651.92	44680.82	50719.97	15172.97	17196.13	53746.09	61282.46	48443.75	79762.96	80874.08	96802.84	118001.66	101847.08
K00038	0	0	0	0	0	13	0	0	0	7	0	0	59	0	0	0	0	0	0	0	0	0	0	0	7	78	0	41	9	0	0	10	0	0	0	0	43	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	30	0	0
K00039	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
K00040	29590.35	18121.4	11779.25	12918	15905.5	19304	25833.95	22774.75	25134.86	13233	8544.1	32800.15	24632.6	13737.75	6365.25	17996.65	12816.75	19149.5	8997.2	14990.75	36649.5	19010	14525.75	87190.55	76827.4	23006.05	187279	105311.9	92126.9	53249	52773.05	47630	86133.4	22478.75	57708.28	52630	73782.15	98895.75	37024.2	49657	20820.08	98183.65	46142.8	51687	30424.45	49877.25	32291.2	29021.75	10951	34729.5	41146	24715.8	16011.15	46706.75	15635	14693.9	27968.5	57265.3	64825.2	78822	50452.55	16485.5	28739.5	39700.95	47083.85	116421.25	21129.8	41171	42649.5	25836.95	40372.25	63684.75	60867.95	37231.4	29628.25	147624.12	51486.25	20462.75	72973.25	24246.75	24642.95	18478.25	25166.55	43764.5	66801.5	78847.25	49640.95	53743.43	80493.5	55384.45	92865.2
K00041	35005.83	24660.02	14974.08	28841.18	16245.8	21094.97	46046.27	30618.75	25930.91	5243	8052.22	13066.15	12804.45	18125.28	10880.78	9863.98	9921.5	13467.15	19378.45	9939.28	41902	12614.85	13634.35	120296.95	40182.53	16683.05	243656.63	101650.77	114858.45	61892.66	65999.41	34977.63	134190.03	34159.3	32493.4	36637.52	18276.6	75260.85	89454.48	68610.4	21700.35	98380.15	62848.3	57333.8	37186.03	63408.22	21841.4	27797.95	32946.23	36594.8	51936.12	35384.25	58909.97	62325.47	38480.55	33346.52	38808.32	20935.15	57789.32	51642.1	38025.9	37880.5	20790	50170.8	45390.3	13138.25	37585.3	44842.28	119489.5	24641.98	55605.4	47639.22	39466.2	25785.9	34262.67	118679.4	32284.55	76237.35	35027.1	41761.58	42652.15	24565.3	33150.58	36810.98	34447.97	64080.25	47703.31	16423.35	48799.15	114550.9	46192.7
